Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1995,2,NA,0.223214286,NA,0.651785714,NA,0.598214286,NA,0.620535714,NA,0,NA,NA,0.598214286
1995,3,NA,0.721774194,598.15,0.967741935,2.7,0.899193548,170.82,0.899193548,NA,0,0.68,162.45,0.899193548
1995,4,-60.16,0.816666667,594.58,0.975,2.78,0.945833333,183.58,0.941666667,NA,0,1.13,5.52,0.933333333
1995,5,-65.93,0.798387097,591.38,0.935483871,2.7,0.887096774,181.27,0.907258065,NA,0,0.35,303.63,0.887096774
1995,6,-67.29,0.791666667,590.45,0.908333333,2.85,0.8375,170.7,0.841666667,NA,0,1.97,165.58,0.8375
1995,7,-58.4,0.786290323,595.26,0.927419355,3.62,0.879032258,93.46,0.903225806,NA,0,3.01,62.86,0.879032258
1995,8,-68.03,0.762096774,590.25,0.891129032,NA,0.27016129,NA,0.27016129,NA,0,NA,NA,0.27016129
1995,9,NA,0.720833333,591.73,0.908333333,NA,0.383333333,NA,0.391666667,NA,0,NA,NA,0.383333333
1995,10,NA,0.536290323,598.27,0.915322581,3.14,0.846774194,161.57,0.846774194,NA,0,1.25,120.76,0.846774194
1995,11,NA,0.425,605.71,0.9,3.11,0.795833333,123.64,0.8,NA,0,2.25,82.25,0.795833333
1995,12,NA,0.241935484,612.08,0.923387097,NA,0.72983871,NA,0.737903226,NA,0,NA,NA,0.72983871
1996,1,NA,0.302419355,NA,0,2.93,0.758064516,146.65,0.762096774,NA,0,0.85,42,0.758064516
1996,2,NA,0.288793103,NA,0,2.59,0.827586207,183.6,0.827586207,NA,0,0.59,180.49,0.827586207
1996,3,NA,0.741935484,NA,0,2.9,0.911290323,189.87,0.923387097,NA,0,0.24,76.99,0.911290323
1996,4,-61.45,0.791666667,NA,0,3.24,0.933333333,159.17,0.933333333,NA,0,0.96,103.21,0.933333333
1996,5,-67.85,0.786290323,NA,0,2.43,0.798387097,189.03,0.798387097,NA,0,0.39,178.33,0.798387097
1996,6,-65.79,0.758333333,NA,0,2.69,0.833333333,179.62,0.833333333,NA,0,0.67,52.44,0.833333333
1996,7,-61.82,0.754032258,NA,0,NA,0.713709677,NA,0.721774194,NA,0,NA,NA,0.713709677
1996,8,-62.62,0.794354839,NA,0,2.98,0.786290323,139.32,0.786290323,NA,0,2.12,103.11,0.786290323
1996,9,NA,0.658333333,NA,0,2.21,0.8625,179.73,0.879166667,NA,0,0.94,353.2,0.8625
1996,10,NA,0.411290323,NA,0,1.98,0.866935484,186.74,0.85483871,NA,0,0.14,105.46,0.85483871
1996,11,NA,0.358333333,NA,0,2.69,0.829166667,137.5,0.816666667,NA,0,1.24,79.23,0.808333333
1996,12,NA,0.375,NA,0,3.81,0.794354839,122.67,0.826612903,NA,0,2.49,87.04,0.794354839
1997,1,NA,0.278225806,NA,0,2.39,0.774193548,133.33,0.774193548,NA,0,0.78,82.95,0.774193548
1997,2,NA,0.196428571,NA,0,NA,0.535714286,NA,0.535714286,NA,0,NA,NA,0.535714286
