Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,11,NA,0.05,NA,0.05,NA,0.05,NA,0.05,NA,0.05,NA,NA,0.05
1994,12,-10.72,0.891129032,818.31,1,5.39,0.967741935,234.87,0.991935484,75.98,1,3.61,333.73,0.967741935
1995,1,-12.49,0.919354839,817.01,0.995967742,6.51,0.97983871,112.79,0.995967742,72.07,0.995967742,6.14,12.61,0.97983871
1995,2,-16.17,0.897321429,816.27,0.852678571,7.86,0.928571429,155.43,0.964285714,80.46,0.964285714,7.07,11.15,0.928571429
1995,3,-26.32,0.89516129,NA,0.322580645,7.69,0.963709677,103.08,0.987903226,77.39,1,6.96,18.46,0.963709677
1995,4,-27.37,0.866666667,NA,0.3125,8.72,0.904166667,107.62,0.983333333,79.76,1,8.26,17.46,0.904166667
1995,5,-31.25,0.850806452,NA,0.254032258,9.43,0.866935484,89.97,0.951612903,75.26,1,8.89,19.48,0.85483871
1995,6,-25.25,0.783333333,NA,0.525,8.46,0.879166667,150.2,0.933333333,82.8,0.9375,7.51,4.9,0.879166667
1995,7,-34.1,0.826612903,NA,0.245967742,8.66,0.870967742,103.61,0.907258065,72.44,0.995967742,7.84,18.19,0.870967742
1995,8,-34.18,0.846774194,NA,0.266129032,9.44,0.907258065,102.93,0.943548387,73.16,1,8.74,27.15,0.89516129
1995,9,-30.97,0.879166667,NA,0.508333333,9.62,0.904166667,78.88,0.966666667,74.63,0.966666667,9,26.73,0.904166667
1995,10,NA,0.088709677,NA,0.088709677,NA,0.068548387,NA,0.088709677,NA,0.088709677,NA,NA,0.068548387
1995,11,-20.58,0.9625,812.24,0.995833333,10.02,0.970833333,39.59,1,67.38,1,9.71,39.68,0.970833333
1995,12,-12.38,0.943548387,814.6,0.967741935,6.96,0.971774194,93.84,0.987903226,69.13,0.995967742,6.33,29.59,0.971774194
1996,1,-12.41,0.931451613,821.74,0.991935484,6.77,0.97983871,94.63,0.991935484,71.41,0.995967742,6.25,28.79,0.97983871
1996,2,-18.58,0.892241379,820.58,0.995689655,6.69,0.974137931,76.37,0.995689655,73.33,0.995689655,6.04,36.32,0.974137931
1996,3,-25.15,0.935483871,811.16,0.971774194,8.92,0.971774194,102.05,1,78.43,1,8.28,23.97,0.971774194
1996,4,-21.02,0.966666667,815.21,1,11.8,0.925,63.42,1,83.98,1,11.2,24.38,0.925
1996,5,-34.05,0.947580645,NA,0.665322581,9.17,0.899193548,61.65,1,71.43,1,8.61,32.08,0.899193548
1996,6,-29.65,0.879166667,811.7,0.925,11.09,0.895833333,112.06,1,77.82,1,10.35,18.06,0.895833333
1996,7,-35.19,0.887096774,NA,0.649193548,10.47,0.858870968,66.06,0.943548387,71.36,0.943548387,9.59,42.92,0.858870968
1996,8,NA,0.342741935,NA,0.201612903,NA,0.338709677,NA,0.366935484,NA,0.366935484,NA,NA,0.338709677
1996,9,-30.06,0.933333333,814.08,0.825,10.29,0.941666667,54.91,0.983333333,75.31,0.983333333,9.71,27.56,0.941666667
1996,10,-28.49,0.919354839,802.03,0.814516129,10.77,0.899193548,80.35,1,71.32,1,9.7,39.81,0.899193548
1996,11,-17.16,0.791666667,NA,0.304166667,8.49,0.7625,110.65,0.8625,68.85,0.858333333,7.08,49.64,0.7625
1996,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,NA,0.346774194,NA,0.383064516,NA,0.379032258,NA,0.383064516,NA,0.383064516,NA,NA,0.379032258
1997,2,-19.46,0.799107143,821.58,0.986607143,5.06,0.973214286,227.18,0.986607143,79.33,0.986607143,3.91,351.34,0.973214286
1997,3,-26.22,0.931451613,808.68,1,7.08,0.943548387,148.73,1,79.17,1,6.4,13.02,0.943548387
1997,4,-30.44,0.870833333,811.09,1,9.1,0.8875,79.44,1,76.07,1,8.11,35.74,0.8875
1997,5,NA,0.189516129,NA,0.209677419,NA,0.185483871,NA,0.209677419,NA,0.209677419,NA,NA,0.185483871
1997,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,10,NA,0.588709677,NA,0.665322581,NA,0.620967742,NA,0.665322581,NA,0,NA,NA,0.620967742
1998,11,-21.83,0.933333333,803.63,0.979166667,9.14,0.891666667,103.49,0.979166667,NA,0,8.44,90.53,0.891666667
1998,12,-13.66,0.818548387,813.26,0.907258065,5.61,0.899193548,83.29,0.903225806,NA,0,4.97,76.39,0.899193548
1999,1,-13.35,0.786290323,817.28,0.879032258,6.36,0.850806452,98.41,0.870967742,NA,0,5.88,96.09,0.850806452
1999,2,-20.65,0.919642857,815.58,0.991071429,7.79,0.964285714,92.98,0.991071429,NA,0,7.15,92.69,0.964285714
1999,3,-24.62,0.959677419,811.41,1,10.14,0.943548387,94.54,1,NA,0,9.17,85.9,0.943548387
1999,4,-33.17,0.883333333,804.34,0.995833333,8.43,0.958333333,84.96,0.995833333,NA,0,7.58,80.55,0.958333333
