Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,8,NA,0.471774194,NA,0.471774194,NA,0.322580645,NA,0.471774194,NA,0.427419355,NA,NA,0.322580645
1999,9,NA,0.658333333,NA,0.654166667,NA,0.504166667,NA,0.641666667,NA,0.508333333,NA,NA,0.491666667
1999,10,NA,0.612903226,NA,0.612903226,NA,0.419354839,NA,0.616935484,NA,0.487903226,NA,NA,0.407258065
1999,11,NA,0.158333333,NA,0.170833333,NA,0.125,NA,0.1625,NA,0.1125,NA,NA,0.125
1999,12,NA,0.318548387,NA,0.334677419,NA,0.254032258,NA,0.334677419,NA,0.213709677,NA,NA,0.254032258
2000,1,NA,0.625,NA,0.653225806,NA,0.548387097,NA,0.641129032,NA,0.411290323,NA,NA,0.540322581
2000,2,NA,0.646551724,NA,0.612068966,NA,0.50862069,NA,0.659482759,NA,0.577586207,NA,NA,0.5
2000,3,NA,0.653225806,NA,0.548387097,NA,0.475806452,NA,0.653225806,NA,0.564516129,NA,NA,0.475806452
2000,4,NA,0.595833333,NA,0.583333333,NA,0.470833333,NA,0.579166667,NA,0.5375,NA,NA,0.4625
2000,5,NA,0.689516129,NA,0.669354839,NA,0.491935484,NA,0.677419355,NA,0.669354839,NA,NA,0.487903226
2000,6,NA,0.679166667,NA,0.683333333,NA,0.425,NA,0.604166667,NA,0.645833333,NA,NA,0.4
2000,7,NA,0.705645161,NA,0.721774194,NA,0.379032258,NA,0.600806452,NA,0.608870968,NA,NA,0.366935484
2000,8,NA,0.649193548,NA,0.661290323,NA,0.254032258,NA,0.370967742,NA,0.568548387,NA,NA,0.22983871
2000,9,NA,0.641666667,NA,0.645833333,NA,0.3125,NA,0.104166667,NA,0.595833333,NA,NA,0.045833333
2000,10,NA,0.391129032,NA,0.399193548,NA,0.318548387,NA,0,NA,0.338709677,NA,NA,0
