Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,2,NA,0.571428571,NA,0.700892857,NA,0.65625,NA,0.683035714,NA,0.700892857,NA,NA,0.65625
2011,3,-22.5,0.89516129,989.74,1,6.84,0.931451613,194.54,1,76.74,1,5.76,198.74,0.931451613
2011,4,-26.15,0.829166667,988.16,1,5.61,0.854166667,188.52,0.995833333,76.34,1,3.8,199.74,0.854166667
2011,5,-28.03,0.830645161,977.85,1,NA,0.633064516,199.46,0.77016129,75.78,1,NA,NA,0.633064516
2011,6,-26.72,0.854166667,986.27,1,7.59,0.820833333,202.97,0.916666667,77.02,1,6.35,202.56,0.820833333
2011,7,-25.36,0.85483871,983.7,1,8.3,0.834677419,192.69,0.943548387,78.55,1,7.36,202.53,0.834677419
2011,8,-28.2,0.758064516,986.98,1,NA,0.72983871,216.76,0.782258065,75.76,1,NA,NA,0.72983871
2011,9,-29.56,0.845833333,989.14,1,NA,0.720833333,195.67,0.816666667,73.09,1,NA,NA,0.720833333
2011,10,-23.85,0.802419355,978.06,1,5.47,0.883064516,220.24,0.975806452,76.38,1,3.95,211.85,0.883064516
2011,11,-12.84,0.875,985.27,1,6.61,0.9375,208.75,1,79.53,1,5.92,208.18,0.9375
2011,12,-6.42,0.77016129,975.8,1,4.3,0.971774194,196.54,1,86.92,1,2.54,207.82,0.971774194
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,1,NA,0.076612903,NA,0.076612903,NA,0.076612903,NA,0.076612903,NA,0.076612903,NA,NA,0.076612903
2014,2,NA,0.691964286,982.59,0.767857143,NA,0.736607143,188.25,0.767857143,79,0.767857143,NA,NA,0.736607143
2014,3,-23.88,0.806451613,981.52,0.891129032,6.17,0.806451613,202.56,0.875,77.25,0.891129032,4.74,190.48,0.806451613
2014,4,-30.74,0.766666667,980.11,0.991666667,4.72,0.779166667,205.17,0.895833333,72.92,0.991666667,3.8,210.84,0.779166667
2014,5,NA,0.741935484,983.3,0.903225806,NA,0.709677419,194.57,0.798387097,76.85,0.903225806,NA,NA,0.709677419
2014,6,NA,0.604166667,981.51,0.770833333,NA,0.4625,NA,0.5375,71.39,0.770833333,NA,NA,0.4625
2014,7,NA,0.717741935,984.15,0.923387097,NA,0.435483871,NA,0.504032258,64.84,0.923387097,NA,NA,0.435483871
