Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,10,NA,0.056451613,NA,0.064516129,NA,0.060483871,NA,0.060483871,NA,0,NA,NA,0.060483871
1986,11,NA,0.475,NA,0.695833333,NA,0.65,NA,0.7,NA,0,NA,NA,0.6375
1986,12,NA,0.47983871,NA,0.596774194,NA,0.576612903,NA,0.592741935,NA,0,NA,NA,0.564516129
1987,1,NA,0.532258065,NA,0.669354839,NA,0.633064516,NA,0.637096774,NA,0,NA,NA,0.592741935
1987,2,NA,0.59375,746.22,0.772321429,NA,0.745535714,NA,0.691964286,NA,0,NA,NA,0.674107143
1987,3,NA,0.625,NA,0.685483871,NA,0.677419355,NA,0.665322581,NA,0,NA,NA,0.633064516
1987,4,NA,0.6625,NA,0.6875,NA,0.679166667,NA,0.633333333,NA,0,NA,NA,0.616666667
1987,5,NA,0.741935484,737.92,0.75,NA,0.745967742,NA,0.673387097,NA,0,NA,NA,0.661290323
1987,6,NA,0.654166667,NA,0.654166667,NA,0.575,NA,0.6375,NA,0,NA,NA,0.529166667
1987,7,NA,0.584677419,NA,0.588709677,NA,0.576612903,NA,0.564516129,NA,0,NA,NA,0.536290323
1987,8,NA,0.717741935,NA,0.705645161,NA,0.701612903,NA,0.657258065,NA,0,NA,NA,0.637096774
1987,9,NA,0.704166667,NA,0.720833333,NA,0.708333333,NA,0.679166667,NA,0,NA,NA,0.654166667
1987,10,NA,0.584677419,NA,0.741935484,NA,0.713709677,NA,0.697580645,NA,0,NA,NA,0.669354839
1987,11,NA,0.4625,NA,0.658333333,NA,0.6125,NA,0.645833333,NA,0,NA,NA,0.583333333
1987,12,NA,0.584677419,NA,0.693548387,NA,0.657258065,NA,0.669354839,NA,0,NA,NA,0.629032258
1988,1,NA,0.5,NA,0.673387097,NA,0.629032258,NA,0.665322581,NA,0,NA,NA,0.608870968
1988,2,NA,0.495689655,NA,0.646551724,NA,0.625,NA,0.573275862,NA,0,NA,NA,0.547413793
1988,3,NA,0.576612903,NA,0.637096774,NA,0.60483871,NA,0.588709677,NA,0,NA,NA,0.548387097
1988,4,NA,0.695833333,NA,0.666666667,NA,0.633333333,NA,0.658333333,NA,0,NA,NA,0.583333333
1988,5,NA,0.693548387,NA,0.721774194,NA,0.693548387,NA,0.713709677,NA,0,NA,NA,0.681451613
1988,6,NA,0.691666667,NA,0.670833333,NA,0.6875,NA,0.6875,NA,0,NA,NA,0.670833333
1988,7,NA,0.701612903,NA,0.681451613,NA,0.693548387,NA,0.681451613,NA,0,NA,NA,0.665322581
1988,8,NA,0.620967742,NA,0.612903226,NA,0.620967742,NA,0.608870968,NA,0,NA,NA,0.584677419
1988,9,NA,0.6,NA,0.625,NA,0.595833333,NA,0.645833333,NA,0,NA,NA,0.55
1988,10,NA,0.600806452,NA,0.693548387,NA,0.689516129,NA,0.649193548,NA,0,NA,NA,0.64516129
1988,11,NA,0.4875,NA,0.691666667,NA,0.675,NA,0.641666667,NA,0,NA,NA,0.625
1988,12,NA,0.552419355,NA,0.737903226,NA,0.709677419,NA,0.741935484,NA,0,NA,NA,0.709677419
1989,1,NA,0.495967742,NA,0.725806452,NA,0.713709677,NA,0.685483871,NA,0,NA,NA,0.669354839
1989,2,NA,0.53125,NA,0.700892857,NA,0.660714286,NA,0.651785714,NA,0,NA,NA,0.611607143
1989,3,NA,0.633064516,NA,0.701612903,NA,0.689516129,NA,0.649193548,NA,0,NA,NA,0.629032258
1989,4,NA,0.633333333,NA,0.654166667,NA,0.65,NA,0.533333333,NA,0,NA,NA,0.516666667
1989,5,NA,0.681451613,NA,0.709677419,NA,0.358870968,NA,0.637096774,NA,0,NA,NA,0.306451613
1989,6,NA,0.666666667,NA,0.695833333,NA,0,NA,0.5875,NA,0,NA,NA,0
1989,7,NA,0.657258065,NA,0.669354839,NA,0.322580645,NA,0.592741935,NA,0,NA,NA,0.298387097
1989,8,NA,0.685483871,NA,0.701612903,NA,0.669354839,NA,0.665322581,NA,0,NA,NA,0.625
