Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,1,NA,0.39516129,NA,0.653225806,NA,0.616935484,NA,0.653225806,NA,0.641129032,NA,NA,0.616935484
1999,2,NA,0.5,992.57,0.995535714,3.13,0.857142857,120.9,0.995535714,72.22,0.995535714,1.5,115.51,0.857142857
1999,3,-22.46,0.838709677,990.6,0.870967742,2.91,0.903225806,133.08,1,75.79,0.995967742,0.95,104.65,0.903225806
1999,4,-29.32,0.825,NA,0.416666667,2.72,0.7625,150.8,0.991666667,73.01,0.995833333,1.12,141.26,0.7625
1999,5,NA,0.677419355,NA,0.237903226,2.22,0.830645161,163.68,0.975806452,71.03,0.987903226,0.52,108.43,0.830645161
1999,6,NA,0.704166667,NA,0.479166667,NA,0.7375,143.76,1,78.42,0.991666667,NA,NA,0.7375
1999,7,-24.25,0.875,NA,0.637096774,NA,0.713709677,168.33,0.987903226,73.49,0.987903226,NA,NA,0.713709677
1999,8,NA,0.677419355,NA,0.233870968,1.91,0.838709677,184.36,0.939516129,69.83,0.987903226,0.07,6.61,0.838709677
1999,9,-23.21,0.775,986.42,0.770833333,NA,0.720833333,158.6,0.991666667,78.73,0.979166667,NA,NA,0.720833333
1999,10,NA,0.721774194,971.29,0.991935484,NA,0.681451613,154.34,0.959677419,67.24,0.975806452,NA,NA,0.681451613
1999,11,-8.61,0.841666667,977.34,0.991666667,NA,0.654166667,151.4,1,69.13,0.975,NA,NA,0.654166667
1999,12,NA,0.625,980.02,0.967741935,3.47,0.89516129,136.71,1,68.88,0.995967742,0.83,95.36,0.89516129
2000,1,NA,0.612903226,984.06,0.959677419,3.73,0.782258065,123.72,0.971774194,68.56,0.959677419,1.23,120.08,0.782258065
2000,2,NA,0.590517241,988.46,0.943965517,3.28,0.784482759,137.85,0.974137931,71.99,0.969827586,0.99,97.66,0.784482759
2000,3,-19.26,0.794354839,990.04,1,3.12,0.814516129,160.33,1,80.98,0.97983871,0.51,126.19,0.814516129
2000,4,-22.18,0.816666667,988.55,0.945833333,NA,0.695833333,166.48,1,74.21,0.9875,NA,NA,0.695833333
2000,5,-27.68,0.75,985.14,0.806451613,2.87,0.830645161,165.64,0.987903226,79.64,0.975806452,0.44,148,0.830645161
2000,6,NA,0.695833333,992.25,0.75,2.73,0.825,168.49,0.995833333,77.99,0.995833333,0.77,133.87,0.825
2000,7,NA,0.669354839,988.36,0.887096774,2.67,0.766129032,160.15,0.995967742,74.44,0.991935484,0.35,109.81,0.766129032
