Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2001,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,11,NA,0.145833333,NA,0.283333333,NA,0.133333333,NA,0.229166667,NA,0.283333333,NA,NA,0.125
2001,12,NA,0.600806452,756.28,0.975806452,NA,0.427419355,136.84,0.754032258,73.21,0.975806452,NA,NA,0.322580645
2002,1,NA,0,NA,0,NA,0.552419355,141.49,0.919354839,NA,0,NA,NA,0.487903226
2002,2,NA,0,NA,0,NA,0.584821429,133.43,0.794642857,NA,0,NA,NA,0.486607143
2002,3,NA,0,NA,0,NA,0.487903226,NA,0.745967742,NA,0,NA,NA,0.362903226
2002,4,NA,0,NA,0,NA,0.5125,NA,0.604166667,NA,0,NA,NA,0.308333333
2002,5,NA,0,NA,0,NA,0.112903226,NA,0.092741935,NA,0,NA,NA,0.056451613
2002,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,9,NA,0,NA,0,NA,0.1375,NA,0.220833333,NA,0,NA,NA,0.129166667
2002,10,NA,0,NA,0,NA,0.483870968,NA,0.673387097,NA,0,NA,NA,0.342741935
2002,11,NA,0.166666667,NA,0.4,NA,0.604166667,NA,0.7,NA,0.4,NA,NA,0.4375
2002,12,NA,0.60483871,755.19,0.995967742,NA,0.338709677,NA,0.5,72.39,1,NA,NA,0.306451613
2003,1,NA,0.629032258,767.24,1,NA,0.616935484,NA,0.641129032,74.44,1,NA,NA,0.383064516
2003,2,NA,0.616071429,762.59,1,NA,0.602678571,NA,0.633928571,68.79,1,NA,NA,0.352678571
2003,3,NA,0.528225806,NA,0.661290323,NA,0.431451613,NA,0.431451613,NA,0.657258065,NA,NA,0.290322581
2003,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,11,NA,0.504166667,752.3,0.9875,NA,0.6625,NA,0.645833333,66.51,0.991666667,NA,NA,0.4125
2003,12,NA,0.568548387,767.96,1,NA,0.612903226,NA,0.725806452,73.52,1,NA,NA,0.431451613
2004,1,NA,0.580645161,760.94,0.995967742,NA,0.616935484,161.57,0.794354839,75.05,0.995967742,NA,NA,0.536290323
2004,2,NA,0.663793103,764.49,1,NA,0.538793103,160.06,0.762931034,71.98,1,NA,NA,0.405172414
2004,3,NA,0.72983871,753.38,1,NA,0.625,NA,0.713709677,60.48,1,NA,NA,0.439516129
2004,4,NA,0.295833333,NA,0.3625,NA,0.133333333,NA,0.183333333,NA,0.366666667,NA,NA,0.120833333
2004,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,8,NA,0.012096774,NA,0.012096774,NA,0.012096774,NA,0.012096774,NA,0.012096774,NA,NA,0.012096774
2004,9,NA,0.441666667,NA,0.404166667,NA,0.35,NA,0.370833333,NA,0.479166667,NA,NA,0.279166667
2004,10,NA,0.564516129,750.65,0.919354839,NA,0.512096774,NA,0.576612903,55.34,1,NA,NA,0.314516129
2004,11,NA,0.545833333,754.31,0.983333333,NA,0.45,NA,0.6875,66.77,0.995833333,NA,NA,0.3375
2004,12,NA,0.483870968,768.2,0.995967742,NA,0.625,173.38,0.822580645,74.16,1,NA,NA,0.528225806
2005,1,NA,0.431451613,764,1,NA,0.572580645,172.52,0.862903226,73.36,1,NA,NA,0.5
2005,2,NA,0.549107143,755.86,1,NA,0.59375,169.16,0.852678571,68.18,0.995535714,NA,NA,0.517857143
2005,3,-42.91,0.794354839,755.21,0.943548387,NA,0.491935484,NA,0.483870968,57.98,1,NA,NA,0.35483871
2005,4,NA,0.0375,NA,0.033333333,NA,0,NA,0,NA,0.041666667,NA,NA,0
2005,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,9,NA,0.079166667,NA,0,NA,0.008333333,NA,0.008333333,NA,0.083333333,NA,NA,0.008333333
2005,10,NA,0.612903226,NA,0,NA,0.459677419,NA,0.685483871,61.65,0.935483871,NA,NA,0.358870968
2005,11,NA,0.5125,NA,0.454166667,NA,0.633333333,NA,0.641666667,66.85,1,NA,NA,0.4
2005,12,NA,0.629032258,771.09,1,NA,0.536290323,145.52,0.85483871,77.45,1,NA,NA,0.455645161
2006,1,NA,0.572580645,762.28,1,NA,0.629032258,NA,0.737903226,75.82,1,NA,NA,0.471774194
2006,2,NA,0.526785714,760.45,1,NA,0.674107143,NA,0.71875,65.35,1,NA,NA,0.513392857
2006,3,-42.39,0.891129032,758.07,1,NA,0.536290323,NA,0.612903226,57.61,1,NA,NA,0.322580645
2006,4,NA,0.316666667,NA,0.291666667,NA,0.216666667,NA,0.2,NA,0.316666667,NA,NA,0.1375
2006,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2006,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2006,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2006,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
