Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,NA,0.370967742,NA,0.580645161,NA,0.576612903,NA,0.576612903,NA,0.580645161,NA,NA,0.576612903
2011,2,NA,0.745535714,751.32,1,5,0.977678571,99.32,1,79.37,1,3.33,61.31,0.977678571
2011,3,-26.89,0.806451613,755.32,1,4.59,0.983870968,105.49,1,74.92,1,3.89,28.52,0.983870968
2011,4,-30.85,0.775,753.48,1,5.87,0.879166667,155.28,1,71.41,1,4.31,8.99,0.879166667
2011,5,-33.57,0.75,740.85,1,NA,0.556451613,NA,0.641129032,71.72,1,NA,NA,0.556451613
2011,6,-34.12,0.875,748.99,1,NA,0.579166667,NA,0.6875,71.34,1,NA,NA,0.579166667
2011,7,-24.72,0.778225806,755.83,1,8.38,0.846774194,115.52,1,77.49,1,6.41,27.68,0.846774194
2011,8,-29.37,0.830645161,748.92,1,7.34,0.782258065,61.57,0.85483871,75.97,1,6.71,59.6,0.782258065
2011,9,NA,0.7375,747.5,1,NA,0.279166667,NA,0.4,71.02,1,NA,NA,0.279166667
2011,10,-26.41,0.754032258,745.06,1,NA,0.717741935,59.21,0.762096774,77.24,1,NA,NA,0.717741935
2011,11,NA,0.725,750.89,1,6.02,0.916666667,94.92,0.995833333,80.04,1,5.16,66.79,0.916666667
2011,12,NA,0.637096774,749.05,1,4.6,0.943548387,128.1,0.995967742,75.63,1,2.64,64.06,0.943548387
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,1,-13.5,0.778225806,761.05,0.967741935,5.06,0.935483871,135.43,0.967741935,79.94,0.967741935,2.3,26.6,0.935483871
2013,2,NA,0.732142857,749.03,1,5.47,0.941964286,133.76,1,80.18,1,3.59,48.11,0.941964286
2013,3,-22.91,0.846774194,746.25,1,5.74,0.903225806,78.24,0.955645161,81.93,1,5.21,71.21,0.903225806
2013,4,NA,0.741666667,739.26,1,NA,0.404166667,NA,0.4375,66.39,1,NA,NA,0.404166667
2013,5,-30.9,0.75,749.33,1,NA,0.383064516,NA,0.564516129,74.12,1,NA,NA,0.383064516
2013,6,-40.55,0.8375,747.43,1,NA,0.095833333,NA,0.279166667,63.63,1,NA,NA,0.095833333
