Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,NA,0.024193548,NA,0.036290323,NA,0.036290323,NA,0.036290323,NA,0.036290323,NA,NA,0.036290323
2010,1,-8.18,0.967741935,832.55,1,8.9,0.834677419,103.13,0.995967742,70.39,1,7.11,55.85,0.834677419
2010,3,-16.1,0.97983871,823.1,1,NA,0.036290323,NA,0.048387097,80.35,1,NA,NA,0.571428571
2010,3,-16.1,0.97983871,823.1,1,NA,0.036290323,NA,0.048387097,80.35,1,NA,NA,0.036290323
2010,4,-16.99,0.970833333,820.94,0.995833333,NA,0,NA,0,80.1,0.995833333,NA,NA,0
2010,5,-16.7,0.959677419,818.01,1,NA,0,NA,0,74.17,1,NA,NA,0
2010,6,NA,0.670833333,NA,0.720833333,NA,0,NA,0,NA,0.720833333,NA,NA,0
2010,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,8,NA,0.237903226,NA,0.237903226,NA,0,NA,0,NA,0.237903226,NA,NA,0
2010,9,NA,0.708333333,NA,0.729166667,NA,0,NA,0,NA,0.729166667,NA,NA,0
2010,10,-13.08,0.975806452,815.51,1,NA,0,NA,0,85.5,1,NA,NA,0
2010,11,-11.76,0.979166667,817.78,1,NA,0,NA,0,83.16,1,NA,NA,0
2010,12,-10.12,0.991935484,825.98,1,NA,0,NA,0,65.55,1,NA,NA,0
