Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2016,1,NA,0.322580645,NA,0.443548387,NA,0.431451613,NA,0.435483871,NA,0.443548387,NA,NA,0.431451613
2016,2,-21.9,0.853448276,796.1,1,6.56,0.974137931,88.55,0.995689655,75.18,1,5.83,92.14,0.974137931
2016,3,-31.14,0.85483871,791.21,1,5.47,0.971774194,117.67,0.991935484,70.16,1,4.71,106.29,0.971774194
2016,4,-36.75,0.833333333,796.25,1,5.11,0.9125,137.9,0.983333333,68.02,1,3.58,129.44,0.9125
2016,5,-28.93,0.75,798.4,1,5.52,0.891129032,135.42,0.983870968,74.12,1,2.51,63.31,0.891129032
2016,6,-30.26,0.9,790.82,1,7.45,0.920833333,119.36,0.958333333,72.66,1,4.89,62.92,0.920833333
2016,7,-34.98,0.830645161,796.53,1,NA,0.584677419,NA,0.620967742,69.62,1,NA,NA,0.584677419
2016,8,-33.72,0.883064516,802.26,1,NA,0,NA,0,70.23,1,NA,NA,0
2016,9,-35.04,0.795833333,781.46,1,NA,0.495833333,NA,0.55,69.84,1,NA,NA,0.495833333
2016,10,-25.32,0.842741935,795.09,1,6.85,0.830645161,128.48,0.919354839,73.86,1,3.9,78.99,0.830645161
2016,11,-21.06,0.916666667,802.07,1,6.18,0.941666667,108.85,0.995833333,72.28,1,5.16,100.73,0.941666667
2016,12,NA,0.669354839,807.6,1,4.11,0.959677419,142.26,0.97983871,73.85,1,2.11,106.94,0.959677419
2017,1,-16.92,0.754032258,808.88,1,4.05,0.983870968,115.81,0.995967742,73.23,1,3.03,109.17,0.983870968
2017,2,NA,0.65625,807.34,1,3.87,0.982142857,140.82,0.991071429,74.87,1,2.2,117.08,0.982142857
2017,3,-22.37,0.883064516,803.89,1,5.45,0.991935484,91.35,1,77.76,1,4.49,77.36,0.991935484
2017,4,-29.38,0.820833333,805.01,1,3.51,0.8375,153.96,0.85,74.12,1,1.4,116.54,0.8375
2017,5,-31.96,0.887096774,796.8,1,6.83,0.834677419,93.74,0.850806452,72.6,1,5.67,86.57,0.834677419
2017,6,-34.8,0.825,795.8,1,6.3,0.904166667,129.87,0.9625,70.38,1,3.84,90.62,0.891666667
2017,7,-39.43,0.862903226,788.76,1,6.92,0.907258065,101.39,0.959677419,66.92,1,5.54,89.48,0.907258065
2017,8,-35.29,0.85483871,791.61,1,7.27,0.782258065,112.49,0.826612903,69.89,1,5.12,82.52,0.782258065
2017,9,-40.98,0.8625,779.78,1,7.86,0.854166667,112.15,0.916666667,65.73,1,6.63,107.43,0.854166667
2017,10,-27.55,0.862903226,798.8,1,6.6,0.963709677,99.42,0.975806452,74.43,1,5.72,99.15,0.963709677
2017,11,-20.79,0.883333333,793.43,1,6.78,0.970833333,79.85,1,76.59,1,5.76,63.74,0.970833333
2017,12,-17.02,0.790322581,801.69,0.967741935,4.97,0.963709677,115.83,0.967741935,71.68,0.967741935,4.52,110.33,0.963709677
2018,1,NA,0.725806452,802.31,1,4.85,0.995967742,116.59,0.995967742,72.33,1,4.03,109.1,0.995967742
2018,2,NA,0.665178571,800,1,4.18,0.991071429,145.42,1,72.54,1,3.18,132.53,0.991071429
2018,3,-26.79,0.887096774,795.58,1,6.81,0.955645161,113.18,1,73.75,1,6.03,107.74,0.955645161
2018,4,-31.02,0.920833333,800.42,1,5.97,0.875,111.3,0.925,72.78,1,5.51,113.41,0.875
2018,5,-36.59,0.903225806,794.04,1,NA,0.673387097,NA,0.745967742,69.5,1,NA,NA,0.673387097
2018,6,-35.91,0.891666667,797.37,1,NA,0.520833333,NA,0.579166667,69.76,1,NA,NA,0.520833333
2018,7,-35.34,0.794354839,794.17,1,NA,0,NA,0,70.36,1,NA,NA,0
2018,8,-37.18,0.967741935,795.23,1,NA,0,NA,0,68.79,1,NA,NA,0
2018,9,-35.63,0.9125,790.16,1,NA,0.016666667,NA,0.025,69.42,1,NA,NA,0.016666667
2018,10,-24.97,0.891129032,796.88,1,NA,0.713709677,89.17,0.786290323,74.95,1,NA,NA,0.713709677
2018,11,-22.08,0.820833333,793.05,1,5.27,1,108.12,1,72.33,1,4.27,97.4,1
2018,12,-15.66,0.858870968,798.49,1,5.01,0.971774194,113.17,1,74.64,1,4.06,108.21,0.971774194
2019,1,NA,0.705645161,802.21,1,4.6,0.987903226,129.58,0.995967742,73.11,1,3.26,118.45,0.987903226
2019,2,NA,0.65625,806.22,1,5.29,0.986607143,151.7,1,74.41,1,2.36,125.95,0.986607143
2019,3,-27.71,0.875,799.23,1,5.81,0.927419355,119.14,0.97983871,73.93,1,4.02,98.11,0.927419355
2019,4,-31.89,0.904166667,795.32,1,7.74,0.929166667,100.6,0.975,72.29,1,6.93,98.06,0.929166667
2019,5,-33.19,0.943548387,799.04,1,6.81,0.959677419,125.67,0.975806452,71.25,1,5.53,104.37,0.959677419
2019,6,-29.82,0.795833333,794.94,1,3.6,0.766666667,126.92,0.791666667,74.49,1,1.88,29.24,0.766666667
2019,7,-30.41,0.850806452,799.44,1,NA,0.540322581,NA,0.540322581,74.08,1,NA,NA,0.540322581
2019,8,-29.51,0.802419355,801.45,1,NA,0.052419355,NA,0.052419355,75.13,1,NA,NA,0.052419355
2019,9,-33.32,0.754166667,792.89,1,NA,0,NA,0,72.2,1,NA,NA,0
2019,10,-29.58,0.806451613,794.81,1,NA,0.366935484,NA,0.379032258,74.05,1,NA,NA,0.366935484
2019,11,-19.96,0.904166667,803.57,1,6.64,0.983333333,125.73,1,76.02,1,5,104.58,0.983333333
2019,12,NA,0.689516129,811.96,1,3.85,0.983870968,115.06,0.995967742,75.66,1,2.69,89.9,0.983870968
2020,1,-16.49,0.790322581,805.84,1,4.78,0.987903226,110.38,0.995967742,75.36,1,4.06,101.82,0.987903226
2020,2,-17.19,0.806034483,803.76,1,5.63,0.974137931,102.7,0.99137931,79.95,1,3.97,72.72,0.974137931
2020,3,-26.17,0.89516129,793.34,1,6.21,0.971774194,91.63,1,76.41,1,5.02,68.67,0.971774194
2020,4,-32.06,0.845833333,796.27,1,6.01,0.929166667,143.98,0.979166667,72.94,1,3.35,100.23,0.929166667
2020,5,-27.04,0.838709677,799.02,1,5.66,0.891129032,126.18,0.931451613,77.11,1,3.63,51.87,0.891129032
2020,6,-31.26,0.770833333,796.16,1,NA,0.320833333,NA,0.320833333,74.03,1,NA,NA,0.320833333
2020,7,NA,0.721774194,799.61,1,NA,0,NA,0,75.62,1,NA,NA,0
2020,8,-38.67,0.89516129,801.94,1,NA,0,NA,0,68.67,1,NA,NA,0
2020,9,-35.42,0.829166667,795.93,1,NA,0,NA,0,70.59,1,NA,NA,0
2020,10,-29.7,0.838709677,788.85,1,NA,0.177419355,NA,0.197580645,74.21,1,NA,NA,0.177419355
2020,11,-23.51,0.8375,789.41,1,5.21,0.841666667,103.41,0.8625,77.07,1,4.08,95.8,0.841666667
2020,12,-17.02,0.846774194,795.13,1,5.83,0.975806452,116.16,0.995967742,76.25,1,4.41,93.74,0.975806452
2021,1,-17,0.754032258,800.94,1,5.08,0.983870968,119.8,0.995967742,75.61,1,3.82,91.41,0.983870968
2021,2,-21.36,0.879464286,795.01,1,6.39,0.955357143,90.04,1,77.09,1,5.45,82.53,0.955357143
2021,3,-26.57,0.899193548,796.88,1,7.31,0.971774194,102.53,1,76.14,1,6.45,99.42,0.971774194
