Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2002,1,NA,0.189516129,NA,0.237903226,NA,0.233870968,NA,0.22983871,NA,0.237903226,NA,NA,0.225806452
2002,2,NA,0.607142857,NA,0.723214286,NA,0.71875,NA,0.678571429,NA,0.723214286,NA,NA,0.674107143
2002,3,NA,0.685483871,779.8,0.75,NA,0.741935484,NA,0.685483871,77.77,0.75,NA,NA,0.681451613
2002,4,NA,0.666666667,NA,0.683333333,NA,0.683333333,NA,0.625,NA,0.683333333,NA,NA,0.620833333
2002,5,NA,0.705645161,NA,0.725806452,NA,0.725806452,NA,0.701612903,NA,0.72983871,NA,NA,0.697580645
2002,6,NA,0.7375,774.68,0.754166667,10.59,0.754166667,NA,0.725,76.03,0.75,NA,NA,0.725
2002,7,-30.91,0.75,775.6,0.77016129,NA,0.717741935,NA,0.64516129,74.43,0.766129032,NA,NA,0.637096774
2002,8,NA,0.725806452,764.83,0.75,NA,0,NA,0,NA,0.745967742,NA,NA,0
2002,9,NA,0.716666667,773.18,0.75,NA,0.358333333,NA,0.308333333,69.48,0.75,NA,NA,0.308333333
2002,10,NA,0.685483871,778.97,0.766129032,9.8,0.754032258,NA,0.733870968,70.87,0.762096774,NA,NA,0.725806452
2002,11,NA,0.595833333,NA,0.745833333,NA,0.7375,NA,0.670833333,NA,0.745833333,NA,NA,0.6625
2002,12,NA,0.677419355,775.91,0.798387097,NA,0.637096774,NA,0.665322581,67.45,0.790322581,NA,NA,0.620967742
2003,1,NA,0.641129032,786.42,0.754032258,NA,0,NA,0.334677419,NA,0.745967742,NA,NA,0
2003,2,NA,0.620535714,NA,0.696428571,NA,0,NA,0.147321429,NA,0.696428571,NA,NA,0
2003,3,NA,0.661290323,NA,0.713709677,NA,0,NA,0,NA,0.713709677,NA,NA,0
2003,4,NA,0.725,NA,0.745833333,NA,0,NA,0,NA,0.741666667,NA,NA,0
2003,5,-32.29,0.77016129,773.43,0.818548387,NA,0,NA,0,72.78,0.818548387,NA,NA,0
2003,6,-29.85,0.7875,782.31,0.808333333,NA,0,NA,0,74.88,0.808333333,NA,NA,0
2003,7,-34.35,0.826612903,772.39,0.850806452,NA,0,NA,0,68.86,0.850806452,NA,NA,0
2003,8,-33.85,0.762096774,766.75,0.778225806,NA,0,NA,0,70.47,0.774193548,NA,NA,0
2003,9,-30.1,0.825,769.98,0.883333333,NA,0,NA,0,72.82,0.883333333,NA,NA,0
2003,10,NA,0.657258065,771.47,0.798387097,NA,0,NA,0,67.46,0.798387097,NA,NA,0
2003,11,NA,0.579166667,NA,0.7375,NA,0,NA,0,NA,0.720833333,NA,NA,0
2003,12,NA,0.64516129,NA,0.717741935,NA,0,NA,0,NA,0.713709677,NA,NA,0
2004,1,NA,0.653225806,781.87,0.766129032,NA,0,NA,0,70.26,0.766129032,NA,NA,0
2004,2,NA,0.668103448,784.92,0.75,NA,0,NA,0,71.06,0.75,NA,NA,0
