Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2005,1,NA,0.637096774,929.56,0.774193548,3.83,0.754032258,214.83,0.77016129,88.8,0.774193548,0.47,281.29,0.754032258
2005,2,-5.68,0.946428571,919.07,1,6.48,0.763392857,260.83,0.995535714,96.59,0.986607143,4.77,297.65,0.763392857
2005,3,-8.9,0.975806452,926.45,0.991935484,NA,0.745967742,230.07,0.919354839,93.14,0.97983871,NA,NA,0.745967742
2005,4,-11.43,0.916666667,922.63,1,NA,0.6375,249.21,0.775,93.05,0.995833333,NA,NA,0.6375
2005,5,NA,0.677419355,932.1,1,NA,0.483870968,NA,0.60483871,92.15,0.790322581,NA,NA,0.483870968
2005,6,NA,0,936.69,1,NA,0.6375,NA,0.720833333,NA,0,NA,NA,0.6375
2005,7,NA,0,932.25,1,NA,0.463709677,NA,0.608870968,NA,0,NA,NA,0.463709677
2005,8,NA,0,924.6,0.991935484,NA,0.540322581,NA,0.693548387,NA,0,NA,NA,0.540322581
2005,9,NA,0,935.27,1,NA,0.7125,271.61,0.875,NA,0,NA,NA,0.7125
2005,10,NA,0.008064516,921.78,0.995967742,NA,0.620967742,282.95,0.883064516,NA,0.004032258,NA,NA,0.620967742
2005,11,NA,0,929.47,1,5.06,0.829166667,237.81,0.975,NA,0,2.81,278.74,0.829166667
2005,12,NA,0,934.18,1,4.07,0.887096774,211.35,0.971774194,NA,0,1.45,313.37,0.887096774
2006,1,NA,0,931.02,0.971774194,4.23,0.907258065,231.11,0.943548387,NA,0.008064516,2.09,272.62,0.907258065
