Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,2,NA,0.34375,NA,0.540178571,NA,0.459821429,NA,0.540178571,NA,0.540178571,NA,NA,0.459821429
2010,3,-12.21,0.891129032,916.86,1,3.65,0.794354839,172.39,1,77.61,1,1.75,28.92,0.794354839
2010,4,-15.85,0.829166667,914.62,1,4,0.75,141.5,1,73.02,1,2.35,54.51,0.75
2010,5,-15.57,0.794354839,912.51,1,NA,0.745967742,121.64,0.955645161,70.77,1,NA,NA,0.745967742
2010,6,-10.15,0.9,912.17,1,NA,0.5875,118.41,0.991666667,69.59,1,NA,NA,0.5875
2010,7,NA,0.540322581,NA,0.612903226,NA,0.399193548,NA,0.548387097,NA,0.612903226,NA,NA,0.399193548
2010,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0.366666667,NA,0.391666667,NA,0.3625,NA,0.391666667,NA,0.3875,NA,NA,0.3625
2010,12,NA,0.737903226,914.92,1,3.85,0.883064516,172.75,0.983870968,83.38,1,1.23,9.87,0.883064516
2011,1,NA,0.629032258,923.78,1,3.4,0.875,167.4,0.995967742,79.62,0.995967742,1.03,53.32,0.875
2011,2,NA,0.665178571,916.8,1,NA,0.745535714,137.16,0.959821429,78.54,1,NA,NA,0.745535714
2011,3,-11.66,0.915322581,924.07,1,4.86,0.822580645,139.5,0.97983871,78.21,1,2.49,71.32,0.822580645
2011,4,-18.39,0.841666667,919.15,1,4.5,0.7875,127.18,0.95,79.43,1,2.27,83.42,0.7875
2011,5,NA,0.661290323,917.42,0.798387097,NA,0.701612903,127.06,0.798387097,75.27,0.794354839,NA,NA,0.701612903
2011,6,-19.21,0.866666667,922.34,1,5.69,0.770833333,120.83,0.975,75.96,0.995833333,3.44,96.96,0.770833333
2011,7,NA,0.608870968,NA,0.733870968,NA,0.60483871,NA,0.733870968,NA,0.72983871,NA,NA,0.60483871
2011,8,NA,0.709677419,929.44,0.838709677,NA,0.673387097,112.91,0.826612903,69.37,0.838709677,NA,NA,0.673387097
2011,9,-16.78,0.816666667,921.71,0.991666667,NA,0.675,121.86,0.941666667,74.08,0.991666667,NA,NA,0.675
2011,10,-12.82,0.826612903,915.26,1,NA,0.741935484,150.17,0.995967742,74.81,1,NA,NA,0.741935484
2011,11,-7.9,0.820833333,917.5,1,NA,0.704166667,143.06,1,76.61,1,NA,NA,0.704166667
2011,12,NA,0.673387097,914.72,1,NA,0.677419355,154.87,1,77.22,1,NA,NA,0.677419355
2012,1,NA,0.637096774,914.86,1,3.88,0.794354839,155.2,0.995967742,75.38,1,1.47,86.21,0.794354839
2012,2,NA,0.642241379,915.57,1,NA,0.724137931,117.09,0.956896552,76.6,1,NA,NA,0.724137931
2012,3,-8.97,0.850806452,920.71,1,4.99,0.758064516,129.94,0.971774194,74.79,1,3.01,96.76,0.758064516
2012,4,-15.46,0.908333333,928.71,1,NA,0.695833333,137.04,0.966666667,75.41,1,NA,NA,0.695833333
2012,5,-15.96,0.782258065,923.92,1,NA,0.596774194,NA,0.745967742,78.22,1,NA,NA,0.596774194
2012,6,-21.02,0.804166667,910.22,0.995833333,NA,0.7125,108.23,0.966666667,77.42,0.995833333,NA,NA,0.7125
2012,7,NA,0.625,NA,0.741935484,NA,0.572580645,NA,0.737903226,NA,0.741935484,NA,NA,0.572580645
2012,8,NA,0.25,NA,0.306451613,NA,0.217741935,NA,0.294354839,NA,0.306451613,NA,NA,0.217741935
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0.177419355,NA,0.362903226,NA,0.318548387,NA,0.358870968,NA,0.362903226,NA,NA,0.318548387
2013,1,NA,0.637096774,921.35,1,3.74,0.818548387,160.93,0.975806452,80.01,1,1.27,41.8,0.818548387
2013,2,NA,0.651785714,919.18,1,NA,0.736607143,138.65,0.995535714,77.48,1,NA,NA,0.736607143
2013,3,-5.22,0.822580645,924.93,1,3.45,0.806451613,161.34,0.987903226,76.56,1,2.1,114.43,0.806451613
2013,4,-9.37,0.829166667,914.21,1,NA,0.745833333,168.22,0.845833333,87.86,1,NA,NA,0.745833333
2013,5,NA,0.576612903,NA,0.689516129,NA,0.116935484,NA,0.153225806,NA,0.689516129,NA,NA,0.116935484
