Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,1,NA,0.036290323,NA,0.096774194,NA,0.064516129,NA,0.064516129,NA,0.096774194,NA,NA,0.064516129
1986,2,-15.19,0.772321429,991.81,1,4.15,0.96875,170.67,0.982142857,60.33,1,3.32,162.64,0.96875
1986,3,-27.74,0.774193548,989.99,0.935483871,3.41,0.875,176.13,0.899193548,58.96,0.935483871,1.9,163.33,0.875
1986,4,-32.05,0.770833333,979.37,1,4.98,0.895833333,170.78,0.979166667,57.78,1,3.09,155.23,0.895833333
1986,5,-24.95,0.85483871,992.71,1,5.83,0.927419355,158.04,0.975806452,64.79,1,5.05,157.74,0.927419355
1986,6,-35.14,0.754166667,990.59,0.983333333,5.13,0.920833333,170.11,0.991666667,55.19,0.991666667,3.3,147.66,0.920833333
1986,7,-40.36,0.762096774,978.56,0.991935484,4.81,0.866935484,174.34,0.943548387,49.19,0.995967742,3.35,166.82,0.866935484
1986,8,-44.31,0.762096774,979.89,0.991935484,4.34,0.927419355,185.64,0.971774194,45.4,0.995967742,2.91,182.6,0.927419355
1986,9,-49.06,0.770833333,976.34,0.995833333,3.99,0.933333333,188.47,0.954166667,41.44,1,2.6,182.41,0.920833333
1986,10,NA,0.733870968,971.99,1,4.86,0.923387097,182.12,0.971774194,53.31,1,3.58,163.29,0.923387097
1986,11,-15.38,0.920833333,974.53,0.991666667,NA,0.4125,NA,0.441666667,58.49,0.991666667,NA,NA,0.4125
1986,12,-7.69,0.75,981.83,0.947580645,3.98,0.77016129,178.98,0.806451613,55.79,0.947580645,2.81,164.78,0.754032258
1987,1,-5.64,0.931451613,992.57,1,4.68,0.931451613,161.32,0.97983871,63.02,1,3.83,156.83,0.931451613
1987,2,-17.57,0.75,988.81,0.995535714,3.35,0.924107143,190.11,0.959821429,62.53,0.995535714,0.98,162.04,0.924107143
1987,3,-34.71,0.806451613,985.75,0.983870968,3.22,0.887096774,200,0.911290323,51.97,0.983870968,1.78,191.81,0.887096774
1987,4,-37.96,0.804166667,987.67,0.995833333,NA,0.658333333,NA,0.670833333,52.4,0.995833333,NA,NA,0.645833333
1987,5,-35.79,0.778225806,982.98,1,4.33,0.778225806,182.78,0.842741935,55.98,1,3.14,160.64,0.766129032
1987,6,-30.62,0.766666667,986.25,1,4.76,0.841666667,166.63,0.866666667,61.51,1,3.94,161.83,0.820833333
1987,7,NA,0.709677419,991.64,0.923387097,NA,0.431451613,NA,0.467741935,57.62,0.923387097,NA,NA,0.362903226
1987,8,-39.25,0.814516129,975.45,0.995967742,4.17,0.794354839,179.81,0.794354839,51.74,0.995967742,NA,NA,0.745967742
1987,9,NA,0.745833333,988.34,0.991666667,NA,0.495833333,NA,0.55,54.6,0.991666667,NA,NA,0.495833333
1987,10,-25.96,0.870967742,977.35,0.995967742,NA,0.084677419,NA,0,56.28,0.995967742,NA,NA,0
1987,11,-18.44,0.916666667,978.13,0.995833333,NA,0.504166667,NA,0.5125,47.23,0.995833333,NA,NA,0.504166667
1987,12,-6.26,0.814516129,985.5,0.943548387,4.39,0.907258065,156.23,0.919354839,62.15,0.943548387,3.05,148.77,0.907258065
1988,1,-7.37,0.883064516,988.59,0.995967742,4.13,0.939516129,173.95,0.97983871,NA,0,2.4,154.44,0.939516129
1988,2,NA,0.724137931,984.08,0.995689655,3.34,0.961206897,178.71,0.969827586,64.23,0.995689655,1.81,167.84,0.961206897
1988,3,-31.34,0.762096774,985.16,0.991935484,4.47,0.923387097,185.43,0.967741935,NA,0,3.04,172.05,0.923387097
1988,4,-31.86,0.833333333,981.36,0.970833333,5.06,0.941666667,196.04,0.954166667,NA,0,3.61,168.35,0.941666667
1988,5,-33.5,0.794354839,989.01,1,4.05,0.963709677,178.92,0.995967742,NA,0,3.18,170.2,0.963709677
1988,6,-34.71,0.7875,995.28,0.966666667,5.14,0.9,163.66,0.954166667,NA,0,4.07,158.46,0.9
1988,7,NA,0.709677419,974.97,0.995967742,4.62,0.899193548,171.9,0.97983871,NA,0,3.03,155.66,0.899193548
1988,8,NA,0.685483871,975.4,0.967741935,6.42,0.814516129,164.79,0.963709677,NA,0,4.8,149.45,0.814516129
1988,9,-35.69,0.804166667,982.69,1,4,0.816666667,178.24,0.833333333,NA,0,2.28,145.58,0.758333333
1988,10,-21.18,0.77016129,988.66,0.991935484,5.75,0.846774194,171.67,0.991935484,NA,0,4.75,156.31,0.846774194
1988,11,-15.93,0.758333333,981.41,0.958333333,2.73,0.904166667,180.2,0.916666667,NA,0,1.14,175.46,0.904166667
1988,12,-6.42,0.786290323,983.48,0.995967742,3.44,0.955645161,154.01,0.959677419,NA,0,2.46,147.9,0.955645161
1989,1,-6.53,0.838709677,984.69,0.995967742,4.12,0.983870968,152.51,0.995967742,65.69,1,3.07,148.92,0.983870968
1989,2,NA,0.660714286,985.16,1,2.94,0.928571429,212.86,0.955357143,61.52,1,1.23,212.37,0.928571429
1989,3,NA,0.721774194,982.92,1,3.98,0.963709677,181.24,0.987903226,62.44,1,2.95,179.45,0.963709677
1989,4,NA,0.720833333,987.35,0.9625,4.69,0.891666667,178,0.920833333,66.87,0.9625,2.93,147.64,0.891666667
1989,5,-34.63,0.802419355,969.01,0.97983871,4.45,0.919354839,171.92,0.951612903,58.11,0.975806452,3.01,162.22,0.907258065
1989,6,-46.76,0.841666667,979.62,0.995833333,3.26,0.891666667,178.71,0.925,45.39,0.995833333,1.96,170.73,0.891666667
1989,7,NA,0.737903226,977.52,0.971774194,4.91,0.903225806,187.89,0.963709677,55.27,0.971774194,3.73,175.08,0.903225806
1989,8,-40.01,0.754032258,982.73,0.991935484,4.76,0.850806452,180.37,0.955645161,53.83,0.991935484,2.98,166.72,0.838709677
1989,9,-35.21,0.775,981.18,1,5.2,0.8625,193.12,0.970833333,55.92,1,3.6,168.96,0.8625
1989,10,-26.07,0.774193548,973.34,0.967741935,5.64,0.891129032,162.66,0.963709677,58.24,0.967741935,4.32,148.46,0.891129032
1989,11,-13.44,0.870833333,975.93,0.991666667,5.87,0.904166667,152.36,0.979166667,60.6,0.991666667,4.84,143.52,0.904166667
1989,12,NA,0.725806452,989.31,0.987903226,3.46,0.935483871,176.88,0.947580645,59.57,0.987903226,2.51,172.62,0.935483871
1990,1,-7,0.758064516,988.67,1,3.61,0.97983871,172.87,0.991935484,66.24,1,1.7,168.78,0.97983871
1990,2,NA,0.620535714,982.9,1,2.91,0.964285714,189.01,0.964285714,62.11,1,0.61,191.66,0.964285714
1990,3,-29.27,0.786290323,985.82,1,3.58,0.963709677,158.02,0.97983871,60.79,1,2.31,145.52,0.963709677
1990,4,NA,0.745833333,991.25,0.970833333,4.47,0.916666667,168.07,0.945833333,62.15,0.970833333,3.27,145.44,0.916666667
1990,5,NA,0.741935484,997.02,0.959677419,3.24,0.903225806,188.45,0.915322581,57.8,0.959677419,1.67,153.18,0.903225806
1990,6,-35.3,0.795833333,985.24,0.970833333,5.44,0.8875,189.27,0.925,56.91,0.970833333,4.23,170.88,0.854166667
1990,7,-41.58,0.879032258,995.67,1,3.54,0.963709677,194.64,0.975806452,51.44,1,1.67,182.94,0.963709677
1990,8,-41.25,0.778225806,979.32,0.995967742,4.68,0.919354839,191.2,0.991935484,51.21,0.995967742,2.88,175.49,0.919354839
1990,9,-41.9,0.770833333,970.12,0.995833333,4.1,0.9,189.28,0.958333333,51.62,0.995833333,2.38,168.78,0.9
1990,10,-29.09,0.774193548,980.58,1,4.48,0.903225806,181.28,0.951612903,53.26,1,3.91,175.51,0.903225806
1990,11,-15.13,0.8875,982.74,1,3.51,0.970833333,176.18,0.983333333,52.5,1,2.51,162.9,0.970833333
1990,12,-4.88,0.875,983.45,1,5.71,0.959677419,154.6,0.975806452,63.52,1,5.01,153.13,0.959677419
1991,1,NA,0.733870968,982.41,0.995967742,2.87,0.951612903,190.37,0.955645161,62.93,0.995967742,0.7,152.93,0.951612903
1991,2,NA,0.660714286,989.17,1,3.33,0.96875,184.86,0.982142857,66.94,1,1.79,166.38,0.96875
1991,3,-30.14,0.754032258,980.1,1,4.28,0.951612903,186.61,0.991935484,60.96,1,2.56,165.27,0.951612903
1991,4,NA,0.745833333,984.09,0.991666667,4.65,0.879166667,178.84,0.975,64.93,0.991666667,3.07,166.17,0.879166667
1991,5,-34.11,0.754032258,986.86,0.975806452,4.74,0.838709677,164.93,0.927419355,61.75,0.975806452,2.37,137.4,0.838709677
1991,6,-32.33,0.770833333,989.17,0.979166667,4.21,0.804166667,170.53,0.829166667,63.36,0.979166667,3.11,150.43,0.7875
1991,7,-41.24,0.782258065,990.66,0.97983871,3.65,0.838709677,200.17,0.85483871,54.27,0.97983871,2.08,183.15,0.838709677
1991,8,NA,0.185483871,NA,0.254032258,NA,0.169354839,NA,0.189516129,NA,0.254032258,NA,NA,0.169354839
1991,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,10,NA,0.141129032,NA,0.157258065,NA,0.153225806,NA,0.157258065,NA,0.157258065,NA,NA,0.153225806
1991,11,-14.32,0.820833333,983.26,0.970833333,4.36,0.925,166.04,0.941666667,58.01,0.970833333,2.78,161.16,0.925
1991,12,-5.11,0.838709677,995.06,1,3.78,0.971774194,166.35,0.97983871,61.45,1,2.99,156.75,0.971774194
1992,1,-6.72,0.766129032,988.59,1,3.36,0.967741935,178.58,0.975806452,66.31,1,1.85,174.41,0.967741935
1992,2,-16.57,0.754310345,994.67,1,4.34,0.926724138,189.68,0.974137931,65.86,1,2.8,162.22,0.926724138
1992,3,-20.74,0.826612903,988.01,1,4.2,0.971774194,173.95,0.971774194,72.67,1,2.91,144.84,0.971774194
1992,4,-38.76,0.779166667,984.22,1,3.4,0.966666667,178.72,0.983333333,56.23,0.995833333,1.73,160.95,0.966666667
1992,5,NA,0.653225806,989.52,0.991935484,4.45,0.883064516,189.69,0.975806452,66.45,0.991935484,1.89,154.53,0.883064516
1992,6,-35.6,0.75,992.89,1,4.69,0.929166667,181.08,0.966666667,60,1,3.25,174.28,0.929166667
1992,7,NA,0.455645161,NA,0.564516129,NA,0.419354839,NA,0.431451613,NA,0.560483871,NA,NA,0.419354839
1992,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,10,NA,0.423387097,NA,0.544354839,NA,0.487903226,NA,0.504032258,NA,0.544354839,NA,NA,0.487903226
1992,11,-14.84,0.8625,977.51,0.9875,4.2,0.9,191.72,0.95,55.81,0.9875,3.01,176.81,0.9
1992,12,-6.25,0.758064516,983,0.983870968,3.62,0.939516129,181.33,0.951612903,61.33,0.983870968,2.23,158.81,0.939516129
1993,1,NA,0.737903226,996.05,1,3.4,0.903225806,185.24,0.943548387,66,1,1.02,187.09,0.903225806
1993,2,NA,0.571428571,978.46,1,3.3,0.946428571,193.61,0.96875,61.47,1,2.3,173.83,0.946428571
1993,3,-30.15,0.826612903,985.31,0.995967742,4.49,0.927419355,180.33,0.967741935,62,0.991935484,3.37,159.68,0.927419355
1993,4,-33.02,0.8,980.98,1,3.73,0.916666667,171.29,0.979166667,62.96,1,2.62,162.73,0.916666667
1993,5,-41.31,0.85483871,982.68,1,3.38,0.959677419,194.77,0.963709677,52.48,1,1.8,164.99,0.959677419
1993,6,NA,0.733333333,980.83,0.875,NA,0.741666667,156.21,0.7875,62.77,0.875,NA,NA,0.708333333
1993,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,10,NA,0.189516129,NA,0.209677419,NA,0.189516129,NA,0.193548387,NA,0.209677419,NA,NA,0.189516129
1993,11,-15.82,0.8125,979.5,0.995833333,3.65,0.95,184,0.95,55.6,0.995833333,2.31,154.56,0.933333333
1993,12,NA,0.633064516,984.04,1,2.43,0.923387097,198.32,0.927419355,53.56,1,0.71,200.96,0.923387097
1994,1,-8.44,0.798387097,984.91,0.97983871,3.93,0.951612903,173.4,0.97983871,62.94,0.97983871,3.01,157.56,0.951612903
1994,2,-17.52,0.754464286,982.49,1,3.7,0.946428571,187.69,0.964285714,63.84,1,2.32,171.62,0.946428571
1994,3,NA,0.737903226,977.82,0.983870968,4.14,0.939516129,189.1,0.975806452,57.69,0.983870968,1.75,176.07,0.939516129
1994,4,-28.04,0.766666667,984.54,1,4.19,0.95,162.3,0.979166667,67.83,1,2.9,158.57,0.95
1994,5,NA,0.745967742,985.06,1,3.98,0.911290323,175.6,0.975806452,50.71,1,2.1,155.98,0.911290323
1994,6,NA,0.741666667,997.28,1,4.52,0.845833333,175.69,0.966666667,58.65,1,3.07,165.63,0.845833333
1994,7,-35.07,0.758064516,987.13,1,4.15,0.963709677,166.71,1,60.54,0.995967742,2.52,150.43,0.963709677
1994,8,-42.13,0.862903226,973.05,1,5.6,0.802419355,167.09,0.838709677,51.9,1,4.74,159.22,0.802419355
1994,9,-46.64,0.833333333,987.77,1,NA,0.6,NA,0.604166667,47.69,1,NA,NA,0.6
1994,10,-24.62,0.782258065,976.86,1,6.07,0.758064516,160.6,0.826612903,63.33,1,5.02,151.6,0.758064516
1994,11,-14.34,0.866666667,984.65,0.995833333,3.33,0.929166667,171.42,0.966666667,58.01,0.995833333,1.97,149.25,0.929166667
1994,12,-5.36,0.790322581,981.4,1,3.77,0.951612903,171.14,0.963709677,65.21,1,1.76,146.02,0.951612903
1995,1,NA,0.701612903,981.2,0.995967742,3.05,0.955645161,174.03,0.959677419,62.4,0.995967742,1.68,155.01,0.955645161
1995,2,NA,0.723214286,980.97,0.995535714,4.31,0.888392857,170.86,0.9375,66.63,0.995535714,2.6,159.16,0.888392857
1995,3,-28.73,0.858870968,991.04,1,3.8,0.935483871,178.1,0.971774194,62.25,1,2.26,156.04,0.935483871
1995,4,-38.13,0.795833333,981.96,1,3.53,0.95,182.29,0.975,57.02,1,1.72,163.96,0.95
1995,5,-41.96,0.786290323,980.8,1,3.69,0.927419355,197.67,0.975806452,53.52,1,1.65,158.26,0.927419355
1995,6,NA,0.7375,986.22,1,5.92,0.920833333,167.67,0.991666667,65.3,1,3.34,142.99,0.920833333
1995,7,NA,0.725806452,1000.51,0.862903226,3.57,0.822580645,203.88,0.850806452,53.46,0.862903226,1.52,191.33,0.822580645
1995,8,NA,0.516129032,NA,0.60483871,NA,0.52016129,NA,0.580645161,NA,0.60483871,NA,NA,0.52016129
1995,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,10,NA,0.423387097,NA,0.483870968,NA,0.25,NA,0.254032258,NA,0.483870968,NA,NA,0.25
1995,11,-13.34,0.945833333,977.17,1,6.2,0.916666667,160.87,0.995833333,59.99,1,5.58,151.83,0.916666667
1995,12,-4.97,0.911290323,977.64,1,4.76,0.971774194,162.49,0.987903226,63.58,1,3.83,157.19,0.971774194
1996,1,-6.37,0.778225806,985.91,0.971774194,4.41,0.919354839,153.26,0.931451613,67.49,0.971774194,3.19,147.96,0.919354839
1996,2,NA,0.396551724,NA,0.512931034,NA,0.495689655,NA,0.504310345,NA,0.512931034,NA,NA,0.495689655
1996,3,NA,0.028225806,NA,0.028225806,NA,0.028225806,NA,0.028225806,NA,0.028225806,NA,NA,0.028225806
1996,4,NA,0.016666667,NA,0.016666667,NA,0.016666667,NA,0.016666667,NA,0.016666667,NA,NA,0.016666667
1996,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,11,NA,0.125,NA,0.133333333,NA,0.125,NA,0.129166667,NA,0.133333333,NA,NA,0.125
1996,12,-5.23,0.802419355,985.2,0.959677419,4.01,0.907258065,162.5,0.935483871,62.37,0.959677419,2.94,159.87,0.907258065
1997,1,NA,0.709677419,988.49,0.883064516,3.34,0.858870968,173.33,0.862903226,66.29,0.883064516,1.99,157.49,0.858870968
1997,2,NA,0.379464286,NA,0.616071429,NA,0.589285714,NA,0.59375,NA,0.616071429,NA,NA,0.589285714
1997,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,9,NA,0.0125,NA,0.0125,NA,0.0125,NA,0.0125,NA,0.0125,NA,NA,0.0125
1997,10,NA,0.721774194,977.55,0.790322581,NA,0.693548387,NA,0.72983871,62.52,0.790322581,NA,NA,0.693548387
1997,11,NA,0.329166667,NA,0.35,NA,0.3375,NA,0.345833333,NA,0.345833333,NA,NA,0.3375
1997,12,NA,0.524193548,NA,0.685483871,NA,0.653225806,NA,0.653225806,NA,0.685483871,NA,NA,0.653225806
1998,1,NA,0.310483871,NA,0.391129032,NA,0.383064516,NA,0.383064516,NA,0.391129032,NA,NA,0.383064516
1998,2,NA,0.419642857,NA,0.65625,NA,0.647321429,NA,0.647321429,NA,0.651785714,NA,NA,0.647321429
1998,3,-28.76,0.786290323,981.7,1,4.21,0.955645161,179.86,0.97983871,63.13,1,2.9,162.64,0.955645161
1998,4,-42.25,0.791666667,974.26,1,3.07,0.883333333,173.42,0.933333333,53.51,1,1.63,162.6,0.883333333
1998,5,NA,0.721774194,982.13,1,4.78,0.883064516,198,0.971774194,61.13,1,2.22,161.36,0.883064516
1998,6,NA,0.0625,NA,0.0625,NA,0.0625,NA,0.0625,NA,0.0625,NA,NA,0.0625
1998,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,10,NA,0.375,NA,0.491935484,NA,0.358870968,NA,0.366935484,NA,0.491935484,NA,NA,0.358870968
1998,11,NA,0.3875,NA,0.466666667,NA,0.429166667,NA,0.445833333,NA,0.4625,NA,NA,0.429166667
1998,12,NA,0.27016129,NA,0.383064516,NA,0.366935484,NA,0.366935484,NA,0.383064516,NA,NA,0.366935484
1999,1,NA,0.262096774,NA,0.346774194,NA,0.314516129,NA,0.330645161,NA,0.342741935,NA,NA,0.314516129
1999,2,NA,0.633928571,987.19,0.955357143,3.52,0.875,181.69,0.901785714,65.12,0.950892857,2.65,164.31,0.875
1999,3,-32.75,0.858870968,983.81,1,3.36,0.971774194,188.63,0.97983871,58.63,1,1.79,178,0.971774194
1999,4,-40.62,0.8875,980.36,0.995833333,4.01,0.954166667,184.31,0.9625,53.16,0.995833333,2.68,176.9,0.954166667
1999,5,-39.62,0.842741935,976.42,0.995967742,4.17,0.907258065,185.79,0.971774194,54.58,0.995967742,2.85,164.35,0.907258065
1999,6,-39.64,0.854166667,999.37,1,3.53,0.870833333,189.04,0.9,56.09,1,2.54,176.8,0.870833333
1999,7,-33.54,0.754032258,979.24,0.995967742,5.19,0.899193548,169.22,0.987903226,63.4,1,4.01,153.59,0.899193548
1999,8,-43.23,0.75,981.82,0.987903226,NA,0.399193548,NA,0.415322581,52.42,0.987903226,NA,NA,0.399193548
1999,9,-28.27,0.808333333,981.13,0.991666667,NA,0.7125,148.97,0.7875,66.66,0.991666667,NA,NA,0.7125
1999,10,-25.24,0.762096774,964.12,1,4.51,0.887096774,159.52,0.983870968,62.27,1,3.58,158.08,0.887096774
1999,11,NA,0.3625,NA,0.404166667,NA,0.35,NA,0.404166667,NA,0.404166667,NA,NA,0.35
1999,12,NA,0.225806452,NA,0.326612903,NA,0.318548387,NA,0.322580645,NA,0.326612903,NA,NA,0.318548387
2000,1,NA,0.366935484,NA,0.463709677,NA,0.435483871,NA,0.447580645,NA,0.459677419,NA,NA,0.435483871
2000,2,NA,0.517241379,982.43,0.788793103,3.24,0.75862069,180.45,0.767241379,67.63,0.788793103,1.43,154.82,0.75862069
2000,3,-23.37,0.794354839,982.98,1,4.43,0.943548387,160.76,1,72.19,1,3.01,144.2,0.943548387
2000,4,-30.9,0.85,982.2,1,5.04,0.958333333,153.08,0.995833333,64.56,1,4.7,149.72,0.958333333
2000,5,-35.4,0.762096774,982.24,0.991935484,4.4,0.959677419,162.83,0.97983871,60.9,0.991935484,3.48,152.85,0.959677419
