Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1993,1,NA,0.129032258,NA,0.189516129,NA,0.173387097,NA,0.173387097,NA,0.189516129,NA,NA,0.173387097
1993,2,NA,0.683035714,684.46,1,3.27,0.964285714,139.02,0.964285714,43.62,1,2.01,120.72,0.964285714
1993,3,-52.22,0.935483871,684.42,0.995967742,2.99,0.967741935,154.73,0.97983871,43.93,0.991935484,2.35,149.72,0.967741935
1993,4,-57.75,0.95,682.04,1,2.61,0.920833333,169.07,0.95,38.75,1,1.76,161.27,0.920833333
1993,5,-57.69,0.919354839,678.23,1,3.12,0.955645161,173.46,0.959677419,39.35,1,1.57,163.64,0.943548387
1993,6,-61.54,0.820833333,678.27,0.995833333,3.42,0.775,174.43,0.795833333,36.43,0.995833333,2.59,174.34,0.775
1993,7,-55.08,0.810483871,676.32,0.959677419,2.86,0.778225806,158.07,0.794354839,42.38,0.991935484,0.95,123.2,0.778225806
1993,8,-63.4,0.754032258,673.21,0.790322581,3.75,0.802419355,169.55,0.818548387,33.4,0.838709677,2.24,175.52,0.802419355
1993,9,-58.24,0.9125,677.01,0.966666667,3.04,0.966666667,152.58,0.933333333,38.78,1,1.98,139.16,0.933333333
1993,10,-48.59,0.955645161,676.29,1,3.57,0.947580645,149.24,0.959677419,42.88,0.995967742,2.09,134.12,0.947580645
1993,11,-35.17,0.983333333,686.9,0.995833333,2.62,0.9,137.38,0.916666667,36.39,0.995833333,2.3,122.46,0.9
1993,12,NA,0.705645161,685.42,1,3.22,0.935483871,132.06,0.935483871,41.18,1,2.14,120.85,0.935483871
1994,1,NA,0.544354839,NA,0.669354839,NA,0.669354839,NA,0.669354839,NA,0.669354839,NA,NA,0.669354839
