Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,NA,0.568548387,NA,0.620967742,NA,0.592741935,NA,0.620967742,NA,0.620967742,NA,NA,0.592741935
2010,1,-12,0.762096774,872.44,0.887096774,7.28,0.794354839,192.42,0.879032258,80.37,0.887096774,6.42,195.93,0.794354839
2010,2,-14.97,0.861607143,870.67,1,7.02,0.897321429,189.8,0.995535714,82.8,1,5.65,187.1,0.897321429
2010,3,-22.76,0.919354839,863.23,0.995967742,7.48,0.862903226,186.7,0.991935484,81.27,0.995967742,5.66,184.3,0.862903226
2010,4,-28.7,0.791666667,862.01,0.820833333,NA,0.6375,NA,0.725,82,0.820833333,NA,NA,0.6375
2010,5,-28.71,0.806451613,855,0.862903226,NA,0.693548387,187.09,0.814516129,82.68,0.862903226,NA,NA,0.677419355
2010,6,-27.11,0.8125,847.99,0.895833333,NA,0.7375,173.57,0.8625,84.35,0.895833333,NA,NA,0.7375
2010,7,-31.21,0.774193548,844.5,0.983870968,NA,0.157258065,NA,0.197580645,82.76,0.983870968,NA,NA,0.157258065
2010,8,-23.92,0.834677419,850.27,0.951612903,NA,0.306451613,NA,0.322580645,86.19,0.951612903,NA,NA,0.306451613
2010,9,-26.01,0.804166667,854.38,0.9125,8.42,0.758333333,173.06,0.833333333,85.05,0.9125,6.53,178.7,0.758333333
2010,10,-20.96,0.915322581,847.77,0.943548387,8.56,0.834677419,166.21,0.919354839,87.24,0.943548387,7.68,169.81,0.834677419
2010,11,-18.21,0.841666667,850.88,0.9375,6.01,0.795833333,169.3,0.904166667,83.92,0.9375,5.22,171.38,0.795833333
2010,12,-12.58,0.927419355,866.79,1,7.24,0.870967742,179.81,1,81.23,1,6.55,178.89,0.870967742
2011,1,NA,0.677419355,870.86,0.814516129,6.42,0.758064516,204.57,0.810483871,78.59,0.814516129,5.39,200.97,0.758064516
2011,2,-15.72,0.915178571,863.04,0.986607143,6.91,0.866071429,184.16,0.973214286,83.85,0.986607143,6.15,182.33,0.866071429
2011,3,-22.1,0.939516129,867.82,1,6.98,0.842741935,188.92,0.991935484,81.43,1,5.55,193.69,0.842741935
2011,4,-29.27,0.879166667,868.08,0.979166667,NA,0.7125,195.35,0.858333333,82.24,0.979166667,NA,NA,0.7125
2011,5,-24.92,0.846774194,856.16,0.903225806,NA,0.475806452,NA,0.512096774,84.97,0.903225806,NA,NA,0.475806452
2011,6,-27.77,0.825,864.38,1,NA,0.0125,NA,0.0125,84.51,1,NA,NA,0.0125
2011,7,-21.75,0.89516129,871.92,1,NA,0.274193548,NA,0.302419355,87.28,1,NA,NA,0.274193548
2011,8,-21.25,0.866935484,866.12,1,NA,0.177419355,NA,0.213709677,87.37,1,NA,NA,0.177419355
2011,9,-33.08,0.8625,863.19,1,NA,0.691666667,192.97,0.775,81.57,1,NA,NA,0.691666667
2011,10,-22.55,0.919354839,860.02,0.991935484,7.89,0.758064516,182.65,0.870967742,85.52,0.991935484,6.82,188.28,0.758064516
2011,11,-14.78,0.945833333,864.29,1,6.6,0.933333333,171.22,0.995833333,84.79,1,5.51,176.78,0.933333333
2011,12,-11.99,0.879032258,859.79,1,6.17,0.927419355,181.36,0.983870968,82.23,1,4.99,181.06,0.927419355
2012,1,-12.98,0.806451613,860.91,0.995967742,5.35,0.919354839,238.12,0.987903226,80.84,0.995967742,2.69,248.69,0.919354839
2012,2,-14.54,0.831896552,865.51,1,6.78,0.875,253.25,1,82.18,1,4.89,258.51,0.875
2012,3,-18.11,0.919354839,863.5,1,8.07,0.77016129,260.91,0.834677419,85.8,1,5.64,264.22,0.77016129
2012,4,-20.97,0.883333333,860.64,0.995833333,NA,0.508333333,NA,0.616666667,86.99,1,NA,NA,0.508333333
2012,5,-22.14,0.887096774,861.54,1,NA,0.633064516,226.2,0.762096774,86.96,1,NA,NA,0.633064516
2012,6,-33.6,0.8875,861.79,1,8.8,0.766666667,274.93,0.820833333,81.36,1,7.24,284.98,0.754166667
2012,7,-27.72,0.907258065,853.54,1,8.95,0.75,235.34,0.846774194,84.21,1,6.99,237.78,0.75
2012,8,-28.39,0.935483871,856.53,1,NA,0.717741935,263.68,0.834677419,83.87,1,NA,NA,0.717741935
2012,9,NA,0.445833333,NA,0.495833333,NA,0.408333333,NA,0.495833333,NA,0.495833333,NA,NA,0.408333333
2012,10,-25.4,0.814516129,860.54,1,6.46,0.935483871,271.52,1,78.65,1,4.82,289,0.935483871
2012,11,-18.89,0.8375,867.33,1,6.52,0.9375,265.52,0.995833333,78.73,1,4.67,275.08,0.9375
2012,12,-9.39,0.818548387,872.93,0.971774194,5.71,0.903225806,235.56,0.971774194,82.95,0.971774194,4.02,230.14,0.903225806
2013,1,-10.03,0.830645161,871.48,1,6.12,0.931451613,247.31,1,82.19,1,5,249.32,0.931451613
2013,2,-15.18,0.790178571,861.37,1,7.27,0.915178571,237.69,0.964285714,83.53,1,4.73,249.54,0.915178571
2013,3,NA,0.221774194,NA,0.225806452,NA,0.221774194,NA,0.225806452,NA,0.225806452,NA,NA,0.221774194
2013,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,1,NA,0.657258065,NA,0.705645161,NA,0.661290323,NA,0.693548387,NA,0.705645161,NA,NA,0.661290323
2015,2,-13.64,0.915178571,861.54,1,7.91,0.897321429,128.62,0.991071429,80.11,1,6.61,121.39,0.897321429
2015,3,-22.97,0.903225806,860.45,1,7.46,0.931451613,158.45,0.995967742,76.83,1,5.97,165.23,0.931451613
2015,4,-26.93,0.866666667,854.68,1,NA,0.379166667,NA,0.420833333,77.4,1,NA,NA,0.379166667
2015,5,-24.7,0.870967742,864.95,1,NA,0.318548387,NA,0.375,79.23,1,NA,NA,0.318548387
2015,6,-30.95,0.9125,859.29,1,6.3,0.95,156.14,0.979166667,75.88,1,4.95,148.94,0.95
2015,7,-31.46,0.931451613,852.85,1,NA,0.334677419,NA,0.39516129,75.75,1,NA,NA,0.334677419
2015,8,-35.4,0.891129032,852.11,1,NA,0.564516129,NA,0.629032258,73.87,1,NA,NA,0.564516129
2015,9,-30.17,0.870833333,857.3,1,NA,0.745833333,154.32,0.933333333,75.77,1,NA,NA,0.745833333
2015,10,-20.43,0.959677419,857.83,1,9.34,0.850806452,121.71,0.935483871,79.3,1,8.43,115.34,0.850806452
2015,11,-18.42,0.9125,854.92,1,8.76,0.929166667,122.97,0.995833333,76.84,1,7.35,119.93,0.929166667
2015,12,-11.1,0.879032258,863.45,1,6.79,0.927419355,139.83,1,79.65,1,4.36,127.57,0.927419355
2016,1,-9.45,0.875,867.41,0.995967742,6.8,0.907258065,120.57,0.995967742,80.22,0.995967742,4.44,87.09,0.907258065
2016,2,-15.32,0.943965517,857.48,1,8.65,0.918103448,76.5,0.987068966,81.57,1,7.75,60.71,0.918103448
2016,3,-23.26,0.947580645,854.7,1,7.89,0.850806452,84.71,0.963709677,77.37,1,6.76,82.52,0.850806452
2016,4,-29.08,0.8625,863.05,1,7.05,0.8375,124.1,0.991666667,75.2,1,5.22,108.88,0.8375
2016,5,-19.7,0.782258065,860.97,1,NA,0.447580645,NA,0.512096774,81.16,1,NA,NA,0.447580645
2016,6,-23.99,0.875,852.59,1,NA,0.620833333,NA,0.729166667,79.24,1,NA,NA,0.620833333
2016,7,-27.11,0.879032258,862.3,1,NA,0.080645161,NA,0.120967742,77.68,1,NA,NA,0.080645161
2016,8,-26.7,0.899193548,867.87,1,NA,0.262096774,NA,0.274193548,78.2,1,NA,NA,0.262096774
2016,9,-27.32,0.8875,843.47,1,5.72,0.791666667,118.78,0.845833333,77.26,1,4.47,73.31,0.791666667
2016,10,-18.42,0.915322581,858.43,1,7.21,0.850806452,109.68,0.955645161,81.3,1,4.9,60.49,0.850806452
2016,11,-15.37,0.891666667,865.57,1,7.83,0.933333333,84.02,0.9875,76.67,1,6.72,79.94,0.933333333
2016,12,NA,0.733870968,872.32,1,5.03,0.955645161,101.94,1,78.06,1,3.5,74.87,0.955645161
2017,1,-11.63,0.870967742,873.63,1,6.47,0.955645161,111.41,1,76.2,1,4.6,90.84,0.955645161
2017,2,-11.78,0.825892857,871.16,1,5.73,0.90625,110.05,0.977678571,80.7,1,3.39,70.12,0.90625
2017,3,-14.6,0.89516129,865.41,0.995967742,7.02,0.818548387,82.24,0.923387097,83.06,0.995967742,5.96,69.89,0.818548387
2017,4,-22.72,0.945833333,870.19,0.995833333,NA,0.720833333,107.08,0.775,78.77,0.995833333,NA,NA,0.720833333
2017,5,-23.33,0.927419355,858.58,1,NA,0.294354839,NA,0.338709677,79.36,1,NA,NA,0.294354839
2017,6,-27.85,0.9,861.4,1,6.39,0.791666667,139.5,0.970833333,77.1,1,3.23,45.13,0.791666667
2017,7,-32.73,0.911290323,853.32,1,NA,0.677419355,NA,0.709677419,74.55,1,NA,NA,0.677419355
2017,8,-29.12,0.887096774,855.81,1,NA,0.705645161,126.5,0.810483871,75.69,1,NA,NA,0.705645161
2017,9,-35.79,0.895833333,844.64,1,NA,0.5625,NA,0.608333333,72.42,1,NA,NA,0.5625
2017,10,-21.33,0.887096774,862.71,1,7.62,0.911290323,86.17,0.939516129,78.17,1,6.23,73.63,0.911290323
2017,11,-14.83,0.891666667,855.01,1,6.47,0.9375,86.54,0.966666667,80.94,1,5.2,47.92,0.9375
2017,12,-11.55,0.879032258,864.61,1,6.55,0.959677419,86.2,0.995967742,78.34,1,6.04,73.44,0.959677419
2018,1,-12.26,0.911290323,865.62,0.995967742,7.42,0.903225806,91.5,0.959677419,76.46,0.995967742,6.58,86.86,0.903225806
2018,2,-18.06,0.861607143,865.21,1,7.58,0.955357143,111.83,1,73.41,1,6.3,101.77,0.955357143
2018,3,-21.51,0.923387097,859.65,1,8.95,0.903225806,97.94,0.987903226,76.38,1,7.2,87.23,0.903225806
2018,4,-23.66,0.954166667,864.67,1,8.58,0.829166667,107.11,0.920833333,77.53,1,6.94,94.94,0.829166667
