Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,NA,0.443548387,NA,0.608870968,NA,0.608870968,NA,0.608870968,NA,0.608870968,NA,NA,0.608870968
2011,2,-16.71,0.892857143,978.46,1,5.77,0.941964286,146.96,0.995535714,77.36,1,5.16,149.22,0.941964286
2011,3,-25.11,0.891129032,982.67,1,5.68,0.927419355,166.28,1,74.16,1,4.58,158.71,0.927419355
2011,4,-30.92,0.795833333,981.4,1,5.58,0.8625,152.95,0.991666667,71.29,1,4.81,146.31,0.8625
2011,5,-29.18,0.814516129,969.73,1,5.78,0.891129032,148.48,0.995967742,73.16,1,5.28,145.77,0.891129032
2011,6,-29.64,0.9125,980,1,7.16,0.958333333,140.15,1,72.25,1,6.66,139.81,0.958333333
2011,7,-26.06,0.846774194,978.68,1,6.2,0.866935484,151.54,0.983870968,76.76,1,5.12,143.54,0.866935484
2011,8,-27.36,0.834677419,979.77,1,7.01,0.875,162.05,0.991935484,72.83,1,5.94,148.15,0.875
2011,9,-36.37,0.841666667,981.91,1,5.77,0.895833333,164.04,0.979166667,63.94,1,4.12,151.59,0.8875
2011,10,-22.55,0.862903226,971.4,1,7.22,0.858870968,147.49,0.995967742,75.61,1,6.44,144.11,0.858870968
2011,11,-11.85,0.975,979.07,1,7.36,0.941666667,155.31,1,76.56,1,6.86,153.87,0.941666667
2011,12,-6.28,0.830645161,969.55,1,5.09,0.943548387,164.91,0.983870968,83.24,1,3.98,152.18,0.943548387
2012,1,-9.01,0.842741935,971.05,1,4.98,0.983870968,180.16,0.987903226,83.93,1,3.17,156.22,0.983870968
2012,2,-13.41,0.771551724,978.3,1,5.26,0.952586207,157.54,0.995689655,81.19,1,4.53,150.86,0.952586207
2012,3,-25.34,0.834677419,976.37,1,5.49,0.919354839,143.76,1,77.49,1,4.61,139.34,0.919354839
2012,4,-29.39,0.779166667,973.76,1,5.79,0.808333333,152.64,0.983333333,74.72,1,4.68,146.94,0.808333333
2012,5,-23.95,0.786290323,972.94,1,8.52,0.879032258,143.74,1,77.16,1,7.77,141.76,0.879032258
2012,6,-35.73,0.8125,982.01,1,5.22,0.858333333,166.94,0.966666667,66.86,1,4.36,161.81,0.858333333
2012,7,-36.78,0.842741935,970.79,1,6.5,0.862903226,152.84,0.983870968,64.96,1,5.81,142.17,0.862903226
2012,8,-37.59,0.778225806,974.92,1,5.75,0.947580645,163.19,1,62.52,1,4.86,149.96,0.947580645
2012,9,-31.49,0.870833333,971.34,1,7.3,0.920833333,155.87,0.995833333,70.59,1,6.62,149.52,0.920833333
2012,10,-23.25,0.931451613,970.88,1,6.23,0.943548387,158.26,0.991935484,73.92,1,5.43,152.57,0.943548387
2012,11,-15.71,0.9875,980.58,1,6.13,0.9375,154.08,0.991666667,75.6,1,5.56,151.07,0.9375
