Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1980,12,NA,0.665322581,983.89,0.887096774,5.16,0.850806452,211.86,0.858870968,NA,0,4.28,214.3,0.826612903
1981,1,NA,0.399193548,NA,0.516129032,NA,0.495967742,NA,0.495967742,NA,0,NA,NA,0.47983871
1981,2,-14.19,0.772321429,987.02,1,5.63,0.910714286,218.93,0.9375,NA,0,4.76,213,0.866071429
1981,3,-20.07,0.838709677,988.86,0.967741935,7.27,0.806451613,206.34,0.919354839,NA,0,6.4,210.79,0.794354839
1981,4,-34.49,0.766666667,991.39,0.970833333,NA,0.529166667,NA,0.6,NA,0,NA,NA,0.520833333
1981,5,-30.85,0.834677419,984.26,0.991935484,NA,0.649193548,200.31,0.778225806,NA,0,NA,NA,0.649193548
1981,6,NA,0.733333333,977.45,0.9875,NA,0.6875,210.77,0.95,NA,0,NA,NA,0.670833333
1981,7,NA,0.725806452,985.78,1,NA,0.608870968,214.9,0.798387097,NA,0,NA,NA,0.608870968
1981,8,NA,0.745967742,994.24,0.995967742,NA,0.697580645,207.1,0.850806452,NA,0,NA,NA,0.697580645
1981,9,-37.24,0.808333333,987.87,1,5.66,0.8125,197.78,0.870833333,NA,0,4.57,209.74,0.766666667
1981,10,-26.32,0.762096774,979.79,0.995967742,4.95,0.818548387,206.36,0.903225806,NA,0,3.98,222.09,0.806451613
1981,11,NA,0.729166667,975.89,0.991666667,5.49,0.870833333,204.12,0.904166667,NA,0,4.55,216.94,0.8375
1981,12,NA,0.669354839,977.77,0.975806452,4.25,0.927419355,197.19,0.951612903,NA,0,2.95,213.54,0.927419355
1982,1,-7.25,0.762096774,989.34,0.987903226,4.35,0.919354839,196.42,0.887096774,NA,0,3.23,211.6,0.858870968
1982,2,NA,0.651785714,985.76,0.986607143,4.62,0.915178571,186.81,0.955357143,NA,0,3.32,208.34,0.901785714
1982,3,NA,0.657258065,977.86,0.822580645,NA,0.649193548,NA,0.745967742,NA,0,NA,NA,0.637096774
1982,4,NA,0.725,979.25,0.9375,NA,0.691666667,NA,0.741666667,NA,0,NA,NA,0.666666667
1982,5,-35.1,0.814516129,985.98,1,NA,0.620967742,NA,0.693548387,NA,0,NA,NA,0.620967742
1982,6,-34.99,0.779166667,979.3,1,NA,0.679166667,207.52,0.875,NA,0,NA,NA,0.658333333
1982,7,-39.33,0.814516129,988.34,1,NA,0.334677419,NA,0.427419355,NA,0,NA,NA,0.330645161
1982,8,-31.47,0.830645161,974.53,1,NA,0.649193548,202.06,0.794354839,NA,0,NA,NA,0.649193548
1982,9,-35.79,0.8375,975.29,0.991666667,NA,0.695833333,205.8,0.833333333,NA,0,NA,NA,0.695833333
1982,10,-26.2,0.830645161,978.82,1,6.4,0.762096774,212.32,0.85483871,NA,0,5.71,217.66,0.75
1982,11,-15.11,0.883333333,983.36,1,6.35,0.866666667,207.35,0.9375,NA,0,5.85,206.56,0.8375
1982,12,-6.19,0.754032258,993.2,0.971774194,5.15,0.919354839,206.26,0.959677419,NA,0,4.08,207.48,0.919354839
1983,1,NA,0.653225806,991.4,0.995967742,3.32,0.907258065,181.74,0.89516129,NA,0,1.92,210.11,0.875
1983,2,NA,0.714285714,994.23,0.995535714,4.1,0.861607143,185.56,0.919642857,NA,0,2.37,188.96,0.861607143
1983,3,-25.23,0.814516129,984.79,1,6.6,0.870967742,202.41,0.939516129,NA,0,5.6,205.71,0.85483871
1983,4,-23.47,0.841666667,978.63,0.991666667,8.13,0.820833333,204.71,0.945833333,NA,0,7.73,209.49,0.8
1983,5,-24.09,0.89516129,984.58,0.987903226,8.2,0.810483871,207.03,0.927419355,NA,0,7.86,205.57,0.786290323
1983,6,NA,0.091666667,NA,0.116666667,NA,0.083333333,NA,0.104166667,NA,0,NA,NA,0.083333333
1983,7,NA,0.491935484,NA,0.552419355,NA,0.427419355,NA,0.463709677,NA,0,NA,NA,0.399193548
1983,8,NA,0.705645161,977.14,0.907258065,NA,0.649193548,210.62,0.790322581,NA,0,NA,NA,0.641129032
1983,9,-35.19,0.783333333,982.9,0.991666667,NA,0.6625,NA,0.708333333,NA,0,NA,NA,0.591666667
1983,10,NA,0.709677419,969.38,0.85483871,NA,0.701612903,202.12,0.802419355,NA,0,NA,NA,0.673387097
1983,11,-16.13,0.841666667,972.29,0.991666667,5.53,0.779166667,202.98,0.8625,NA,0,NA,NA,0.7375
1983,12,NA,0.693548387,984.14,0.987903226,4.49,0.802419355,220.97,0.790322581,NA,0,3.39,214.83,0.754032258
1984,1,NA,0.649193548,993.56,0.995967742,3.22,0.782258065,204.78,0.75,NA,0,NA,NA,0.713709677
1984,2,NA,0.672413793,988.92,0.918103448,5.3,0.75862069,178.85,0.797413793,NA,0,NA,NA,0.706896552
1984,3,NA,0.504032258,NA,0.629032258,NA,0.491935484,NA,0.576612903,NA,0,NA,NA,0.47983871
1984,4,NA,0.3,NA,0.366666667,NA,0.1375,NA,0.183333333,NA,0,NA,NA,0.1375
1984,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,NA,0.237903226,NA,0.290322581,NA,0,NA,0.383064516,NA,0,NA,NA,0
1985,2,-18.23,0.816964286,988.15,0.928571429,NA,0,205.54,0.870535714,NA,0,NA,NA,0
1985,3,-23.33,0.911290323,986.69,0.995967742,NA,0,191.58,1,NA,0,NA,NA,0
1985,4,-32.66,0.75,987.38,0.945833333,NA,0,171.14,0.8875,NA,0,NA,NA,0
1985,5,NA,0.741935484,989.55,0.89516129,2.59,0.75,191.57,0.798387097,NA,0,2.03,209.69,0.75
1985,6,-33.07,0.75,984.48,0.979166667,3.11,0.85,217.91,0.829166667,NA,0,2.04,227.23,0.808333333
1985,7,NA,0.64516129,974.97,0.778225806,NA,0,NA,0.689516129,NA,0,NA,NA,0
1985,8,NA,0.298387097,NA,0.338709677,NA,0,NA,0.346774194,NA,0,NA,NA,0
1985,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,11,NA,0.329166667,NA,0.329166667,NA,0,NA,0,NA,0,NA,NA,0
1985,12,NA,0.35483871,NA,0.358870968,NA,0,NA,0.383064516,NA,0,NA,NA,0
