Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,10,NA,0,730.3,0.786290323,NA,0.745967742,90.19,0.782258065,NA,0,NA,NA,0.745967742
2000,11,NA,0,742.86,1,9.96,0.916666667,92.58,1,NA,0,9.72,93.27,0.916666667
2000,12,NA,0,748.36,0.983870968,7.64,0.907258065,85.19,0.975806452,NA,0,7.4,87.16,0.907258065
2001,1,NA,0,744.13,0.995967742,7.96,0.891129032,94.36,0.97983871,NA,0,7.63,90.13,0.891129032
2001,2,NA,0,744.49,0.928571429,8.65,0.866071429,90.16,0.919642857,NA,0,8.38,91.01,0.866071429
2001,3,NA,0,739.08,0.911290323,10.49,0.879032258,102.89,0.903225806,NA,0,10.15,97.09,0.879032258
2001,4,NA,0,732.74,0.904166667,12.06,0.875,97.63,0.895833333,NA,0,11.75,98.26,0.858333333
2001,5,NA,0,738.14,0.931451613,13.3,0.923387097,103.97,0.846774194,NA,0,12.99,104.51,0.826612903
2001,6,NA,0,740.1,0.879166667,12.21,0.870833333,105.13,0.854166667,NA,0,11.82,106.7,0.833333333
2001,7,NA,0,737.25,0.927419355,12.15,0.887096774,94.38,0.911290323,NA,0,11.57,96.88,0.858870968
2001,8,NA,0,729.7,0.790322581,12.32,0.798387097,102.13,0.782258065,NA,0,12.01,99.38,0.758064516
2001,9,NA,0,726.97,0.941666667,12.89,0.916666667,101.61,0.95,NA,0,12.68,102.58,0.916666667
2001,10,NA,0,732.34,1,10.32,0.947580645,93.65,0.97983871,NA,0,10.05,95.75,0.947580645
2001,11,NA,0,735.38,1,11.01,0.945833333,92.95,0.9875,NA,0,10.64,95.31,0.933333333
2001,12,NA,0,738.44,1,9.26,0.875,93.03,0.991935484,NA,0,8.78,92.17,0.875
2002,1,NA,0,743.15,1,8.2,0.919354839,90.15,1,NA,0,7.96,89.28,0.919354839
2002,2,NA,0,736.06,1,9.95,0.919642857,87.34,1,NA,0,9.71,88.65,0.919642857
2002,3,NA,0,743.31,1,11.4,0.963709677,95.58,0.97983871,NA,0,10.96,97.54,0.943548387
2002,4,NA,0,740.07,0.958333333,10.98,0.925,99.28,0.954166667,NA,0,10.25,102.28,0.916666667
2002,5,NA,0,746.27,0.995967742,12.59,0.955645161,101.87,0.943548387,NA,0,12.4,102.23,0.903225806
2002,6,NA,0,738.5,0.933333333,12.63,0.9125,104.39,0.804166667,NA,0,12.46,104.72,0.791666667
2002,7,NA,0,737.98,0.983870968,13.09,0.915322581,103.91,0.862903226,NA,0,12.86,103.6,0.806451613
2002,8,NA,0,728.9,0.987903226,11.46,0.899193548,103.15,0.931451613,NA,0,11.16,103.82,0.862903226
2002,9,NA,0,733.99,0.975,10.95,0.920833333,97.71,0.975,NA,0,10.63,99.43,0.920833333
2002,10,NA,0,742.25,1,12.05,0.971774194,102.05,0.987903226,NA,0,11.81,103.39,0.959677419
2002,11,NA,0,737.98,0.995833333,7.46,0.925,95.34,0.975,NA,0,7.24,92.12,0.925
2002,12,NA,0,739.37,0.995967742,7.74,0.903225806,93.76,0.975806452,NA,0,7.41,94.83,0.891129032
2003,1,NA,0,748.23,1,7.74,0.959677419,88.63,1,NA,0,7.56,90.02,0.959677419
2003,2,NA,0,745.37,0.96875,8.91,0.892857143,94.13,0.924107143,NA,0,8.72,96.12,0.875
2003,3,NA,0,738.91,0.991935484,10.71,0.971774194,95.4,0.943548387,NA,0,10.37,96.28,0.923387097
2003,4,NA,0,733.84,1,9.89,0.916666667,97.53,0.958333333,NA,0,8.87,91.38,0.891666667
2003,5,NA,0,737.7,0.923387097,11.11,0.858870968,97.48,0.915322581,NA,0,10.72,98.37,0.846774194
2003,6,NA,0,740.88,0.95,12.57,0.9125,98.2,0.929166667,NA,0,12.34,98.68,0.8875
2003,7,NA,0,732.73,0.790322581,10.63,0.782258065,93.35,0.830645161,NA,0,10.28,94.93,0.782258065
2003,8,NA,0,729.82,0.826612903,NA,0.669354839,NA,0.713709677,NA,0,NA,NA,0.641129032
