Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,12,NA,0.362903226,NA,0.475806452,NA,0.431451613,NA,0.475806452,NA,0.475806452,NA,NA,0.431451613
2015,1,-14.88,0.802419355,763.7,0.995967742,5.46,0.85483871,129,0.991935484,72.46,0.995967742,3.7,108.67,0.85483871
2015,2,-18.24,0.821428571,757.77,1,4.43,0.857142857,118.3,0.995535714,63.99,1,2.45,89.83,0.857142857
2015,3,-20,0.959677419,758.09,1,4.82,0.786290323,145.43,0.866935484,69.44,1,2.55,50.11,0.786290323
2015,4,-27.62,0.966666667,751.84,0.9875,NA,0.683333333,149.06,0.8,65.1,0.9875,NA,NA,0.683333333
2015,5,-24.91,0.923387097,756.03,0.97983871,NA,0.701612903,129.48,0.778225806,61.79,0.97983871,NA,NA,0.701612903
2015,6,NA,0.545833333,NA,0.5875,NA,0.370833333,NA,0.479166667,NA,0.5875,NA,NA,0.370833333
2015,7,-28.19,0.919354839,747.63,0.987903226,NA,0.612903226,156.53,0.810483871,53.95,0.987903226,NA,NA,0.612903226
2015,8,-27.55,0.939516129,748.86,0.991935484,NA,0.616935484,155.46,0.782258065,65.8,0.991935484,NA,NA,0.616935484
2015,9,-29.45,0.895833333,746.33,0.995833333,NA,0.645833333,141.89,0.829166667,63.09,0.995833333,NA,NA,0.645833333
2015,10,-25.59,0.903225806,750.81,0.951612903,NA,0.685483871,127.6,0.879032258,66.88,0.951612903,NA,NA,0.685483871
2015,11,-21.69,0.925,753.62,0.970833333,5.83,0.820833333,139.67,0.958333333,62.06,0.970833333,4.23,112.15,0.820833333
2015,12,-14.66,0.766129032,766.2,1,5.05,0.858870968,128.98,0.995967742,66.42,1,2.83,87.9,0.858870968
2016,1,NA,0.741935484,759.99,0.931451613,4.93,0.790322581,132.9,0.911290323,72.14,0.931451613,3.24,106.96,0.790322581
2016,2,-17.79,0.823275862,760.58,1,4.06,0.879310345,137.32,0.969827586,68.79,1,2.42,45.17,0.879310345
2016,3,-22.09,0.955645161,754.36,0.975806452,NA,0.653225806,151.66,0.77016129,70.15,0.975806452,NA,NA,0.653225806
2016,4,-26.64,0.95,754.03,0.991666667,NA,0.470833333,NA,0.591666667,70.57,0.991666667,NA,NA,0.470833333
2016,5,-23.4,0.899193548,758.42,0.991935484,NA,0.584677419,154.61,0.774193548,57.06,0.991935484,NA,NA,0.584677419
2016,6,-28.28,0.929166667,749.19,1,NA,0.591666667,NA,0.729166667,61.75,1,NA,NA,0.591666667
2016,7,-23.71,0.959677419,756.93,1,NA,0.548387097,NA,0.60483871,66.44,1,NA,NA,0.548387097
2016,8,-26.71,0.919354839,758.27,0.975806452,5.94,0.75,124.72,0.935483871,54.05,0.975806452,3.29,96.75,0.75
2016,9,-27.01,0.9,746.35,1,NA,0.5625,NA,0.691666667,63.13,1,NA,NA,0.5625
