Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,NA,0.407258065,NA,0.741935484,NA,0.661290323,NA,0.741935484,NA,0,NA,NA,0.661290323
2010,2,NA,0.553571429,752.72,1,2.72,0.901785714,139.99,0.991071429,NA,0,1.05,3.68,0.901785714
2010,3,-16.72,0.846774194,744.41,0.858870968,NA,0.669354839,191.8,0.846774194,NA,0,NA,NA,0.669354839
2010,4,-20.16,0.933333333,739.17,0.9875,NA,0.670833333,245.16,0.966666667,NA,0,NA,NA,0.670833333
2010,5,-24.51,0.951612903,733.08,0.991935484,NA,0.697580645,237.74,0.935483871,NA,0,NA,NA,0.697580645
2010,6,NA,0.704166667,726.98,0.783333333,NA,0.5625,NA,0.725,NA,0,NA,NA,0.5625
2010,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0.346774194,NA,0.733870968,NA,0.657258065,NA,0.733870968,NA,0.733870968,NA,NA,0.657258065
2011,1,NA,0.447580645,754.71,1,2.44,0.967741935,156.25,1,62.21,1,0.72,261.57,0.967741935
2011,2,NA,0.566964286,745.58,1,3.15,0.803571429,165.1,0.96875,66.12,1,1.26,358.81,0.803571429
2011,3,-17,0.97983871,749.9,1,3.04,0.830645161,192.08,0.967741935,54.86,1,1.52,335.45,0.830645161
2011,4,-19.46,0.929166667,747.76,0.995833333,4.79,0.766666667,242.63,0.983333333,56.82,0.995833333,3.49,303.37,0.766666667
2011,5,-22.46,0.915322581,735.06,0.995967742,NA,0.705645161,198.19,0.931451613,64.22,0.995967742,NA,NA,0.705645161
2011,6,-22.91,0.929166667,742.94,0.995833333,5.09,0.7625,204.68,0.933333333,63.45,0.995833333,2.76,305.61,0.7625
2011,7,-15.1,0.955645161,748.89,1,NA,0.596774194,238.92,0.927419355,52.65,1,NA,NA,0.596774194
2011,8,-19.44,0.959677419,742.13,0.991935484,NA,0.612903226,182.71,0.903225806,56.97,0.991935484,NA,NA,0.612903226
2011,9,-22.1,0.8625,742.02,1,NA,0.616666667,216.24,0.9125,52.8,1,NA,NA,0.616666667
2011,10,-19.75,0.959677419,738.6,0.995967742,3.2,0.822580645,166.49,0.947580645,57.4,0.995967742,1.78,346.1,0.822580645
2011,11,-17.37,0.983333333,744.6,1,3.7,0.7625,154.77,0.983333333,60.55,1,1.15,0.41,0.7625
2011,12,NA,0.544354839,743.23,0.995967742,3.74,0.786290323,139.15,0.983870968,60.52,0.995967742,1.46,30.73,0.786290323
2012,1,NA,0.625,744.43,1,2.89,0.875,142.15,0.97983871,68.49,1,0.53,15.48,0.875
2012,2,NA,0.607758621,748.34,1,3.93,0.784482759,157.12,0.974137931,63.59,1,1.77,357.94,0.784482759
2012,3,-17.81,0.971774194,744.78,0.995967742,2.78,0.899193548,183.28,0.963709677,63.9,0.995967742,1.36,341.48,0.899193548
2012,4,-21.08,0.9375,739.44,0.975,NA,0.695833333,193.69,0.9,59.75,0.975,NA,NA,0.695833333
2012,5,-20.05,0.911290323,740.45,1,NA,0.625,196,0.826612903,63.25,1,NA,NA,0.625
2012,6,-23.67,0.875,742.16,1,NA,0.720833333,191.29,0.970833333,58.86,1,NA,NA,0.720833333
2012,7,-26.59,0.907258065,731,0.963709677,3.34,0.758064516,188.46,0.951612903,59.76,0.963709677,1.63,329.36,0.758064516
2012,8,-24.68,0.866935484,736.58,0.943548387,3.22,0.778225806,210.28,0.923387097,60.55,0.943548387,1.77,319.01,0.778225806
2012,9,-24.64,0.920833333,734.83,1,2.74,0.858333333,221.69,0.9875,59.18,1,1.82,317.41,0.858333333
2012,10,-19.1,0.951612903,740.26,1,3.2,0.758064516,191.77,0.97983871,59.72,1,1.61,320.67,0.758064516
2012,11,-17.09,0.966666667,748.56,0.995833333,2.83,0.8625,164.02,0.995833333,55.21,0.995833333,1.06,325.65,0.8625
2012,12,NA,0.576612903,754.47,0.995967742,2.6,0.818548387,140.29,0.97983871,66.32,0.995967742,0.48,6.87,0.818548387
2013,1,NA,0.536290323,755.88,1,2.61,0.842741935,148.06,1,63.09,1,0.56,347.57,0.842741935
2013,2,NA,0.549107143,743.16,1,3.05,0.785714286,190.68,0.919642857,62.7,1,1.35,295.71,0.785714286
2013,3,-16.83,0.963709677,739.72,1,NA,0.685483871,196.33,0.939516129,62.08,1,NA,NA,0.685483871
2013,4,-25.37,0.954166667,734.37,1,2.89,0.941666667,205.95,0.995833333,57.36,1,1.67,311.1,0.941666667
2013,5,-19.14,0.899193548,742.95,1,5.48,0.754032258,218.4,0.939516129,53.13,1,3.35,299.35,0.754032258
2013,6,-26.82,0.970833333,742.63,1,2.97,0.870833333,227.64,0.9625,53.77,1,1.77,310.86,0.870833333
2013,7,-26.6,0.883064516,733,0.991935484,NA,0.737903226,212.24,0.939516129,56.83,0.995967742,NA,NA,0.737903226
2013,8,-24.63,0.911290323,740.32,1,NA,0.596774194,179.7,0.975806452,59.67,1,NA,NA,0.596774194
2013,9,-23.18,0.9,739.78,1,NA,0.720833333,178.6,0.975,56.73,1,NA,NA,0.720833333
2013,10,-20.75,0.931451613,739,1,NA,0.741935484,168.71,0.919354839,60.52,1,NA,NA,0.741935484
2013,11,-22.26,0.933333333,737.22,0.979166667,NA,0.745833333,172.45,0.925,65.8,0.979166667,NA,NA,0.745833333
2013,12,NA,0.629032258,750.91,1,3.09,0.842741935,159.12,1,64.91,1,0.64,325.09,0.842741935
2014,1,NA,0.495967742,753.15,1,2.53,0.923387097,168.75,0.983870968,67.49,1,0.85,278.82,0.923387097
2014,2,NA,0.526785714,746.08,1,2.55,0.870535714,165.38,0.973214286,63.32,1,1.11,333.73,0.870535714
2014,3,-20.47,0.891129032,742.02,1,3.16,0.75,206.21,0.935483871,63.05,1,1.97,300.18,0.75
2014,4,-23.49,0.958333333,732.11,0.991666667,NA,0.679166667,164.65,0.941666667,55.33,0.991666667,NA,NA,0.679166667
2014,5,-18.68,0.89516129,740.33,1,NA,0.677419355,174.2,0.931451613,60.58,1,NA,NA,0.677419355
2014,6,-26.47,0.920833333,733.11,1,NA,0.7,197.1,0.970833333,60.58,1,NA,NA,0.7
2014,7,-26.69,0.858870968,733.49,1,NA,0.661290323,231.48,0.887096774,59.01,1,NA,NA,0.661290323
2014,8,-19.77,0.899193548,736.38,0.987903226,NA,0.540322581,211.55,0.887096774,55.08,0.987903226,NA,NA,0.540322581
2014,9,-19.04,0.891666667,740.99,1,NA,0.516666667,155.35,0.858333333,57.36,1,NA,NA,0.516666667
2014,10,-20.06,0.919354839,735.31,0.995967742,NA,0.717741935,198.45,0.939516129,62.54,0.995967742,NA,NA,0.717741935
2014,11,-20.33,0.979166667,743.48,1,3.15,0.8875,164.28,0.991666667,61.55,1,0.64,295.13,0.8875
2014,12,NA,0.544354839,744.41,1,2.54,0.846774194,150.43,0.97983871,64.71,1,0.01,273.37,0.846774194
2015,1,NA,0.620967742,748.74,1,2.84,0.85483871,174.19,1,68.2,1,0.69,298.27,0.85483871
2015,2,NA,0.522321429,743.32,0.986607143,2.92,0.794642857,157.44,0.955357143,63.34,0.986607143,1.41,1.92,0.794642857
2015,3,-19.91,0.955645161,741.9,1,NA,0.733870968,214.72,0.987903226,65.34,1,NA,NA,0.733870968
2015,4,-22.29,0.9375,735.13,1,3.58,0.8,205.89,0.9875,59.08,1,2.02,330.46,0.8
2015,5,-17.67,0.875,743.7,1,NA,0.641129032,209.49,0.951612903,60.16,1,NA,NA,0.641129032
2015,6,-25,0.9375,736.93,0.995833333,NA,0.708333333,214.15,0.9125,56.58,0.995833333,NA,NA,0.708333333
2015,7,-27.01,0.915322581,730.1,1,4.73,0.802419355,213.13,0.963709677,57.52,1,2.87,307.26,0.802419355
2015,8,-27.79,0.830645161,731.17,1,NA,0.653225806,218.84,0.959677419,53.01,1,NA,NA,0.653225806
2015,9,-22.73,0.879166667,734.3,0.995833333,NA,0.625,237.02,0.941666667,55.6,1,NA,NA,0.625
2015,10,-19.98,0.959677419,735.99,1,NA,0.713709677,164.9,0.983870968,58.45,1,NA,NA,0.713709677
2015,11,-19.87,0.983333333,734.89,1,4.02,0.783333333,144.49,0.979166667,58.28,1,1.62,355.68,0.783333333
2015,12,NA,0.689516129,747.27,1,4.1,0.838709677,162.09,0.995967742,68.18,1,0.69,285.25,0.838709677
2016,1,NA,0.298387097,NA,0.411290323,NA,0.294354839,NA,0.383064516,NA,0.411290323,NA,NA,0.294354839
2016,2,NA,0.685344828,739.4,1,3.42,0.831896552,163.03,0.931034483,68.58,1,0.9,347.41,0.831896552
