Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,1,-15.03,0.943548387,769.75,0.971774194,NA,0.181451613,NA,0.205645161,53.1,0.971774194,NA,NA,0.173387097
2008,2,-22.19,0.801724138,764.07,1,5.44,0.86637931,206.81,1,55.43,1,4.69,214.12,0.86637931
2008,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,12,-14.89,0.955645161,769.07,1,10.22,0.939516129,198.69,1,40.5,1,9.94,202.65,0.939516129
2009,1,-14.73,0.883064516,769.3,1,7.89,0.858870968,187.73,0.995967742,52.37,1,7.18,202.32,0.858870968
2009,2,-20.31,0.803571429,768.14,1,6.64,0.816964286,200.46,1,42.67,1,5.75,212.11,0.816964286
2009,3,-25.09,1,761.51,1,NA,0.72983871,203.89,1,42.5,1,NA,NA,0.72983871
2009,4,-27.71,0.991666667,763.56,1,9.73,0.8625,197.71,1,59.77,1,9.39,199.43,0.8625
2009,5,-26.87,0.947580645,765.91,1,NA,0.681451613,202.88,1,45.53,1,NA,NA,0.681451613
2009,6,-27.92,0.95,766.79,1,NA,0.741666667,205.15,1,46.21,1,NA,NA,0.741666667
2009,7,-27.54,0.891129032,765.93,1,NA,0.701612903,201.74,1,39.52,1,NA,NA,0.701612903
2009,8,-28.82,0.903225806,762.68,1,NA,0.661290323,201.36,1,40.23,1,NA,NA,0.661290323
2009,9,-28.82,0.920833333,759.85,1,NA,0.741666667,200.66,1,33.57,1,NA,NA,0.741666667
2009,10,-27.26,0.983870968,756.52,1,7.14,0.814516129,207.63,1,50.15,1,6.76,203.98,0.814516129
2009,11,-18.43,0.995833333,769.59,1,9.55,0.904166667,194.51,1,54.87,1,9.3,199.47,0.904166667
2009,12,-14.89,0.782258065,770.35,1,5.61,0.947580645,184.54,1,57.95,1,4.79,203.27,0.947580645
2010,1,-14.25,0.830645161,780.81,1,7.57,0.858870968,184.43,0.995967742,55.53,1,7.02,200.85,0.858870968
2010,2,-19.66,0.785714286,773.4,1,6.74,0.879464286,201.24,1,57.48,1,5.98,208.4,0.879464286
2010,3,-22.69,0.97983871,765.58,1,6.57,0.830645161,193.09,1,50.43,1,6.05,204.11,0.830645161
2010,4,-26.2,0.9875,760.72,1,7.65,0.775,207.38,1,52,1,7.33,206.09,0.775
2010,5,-29.18,0.959677419,759.51,1,8.55,0.762096774,202.84,1,49.35,1,7.95,204.06,0.762096774
2010,6,-29.59,0.9625,754.92,1,8.67,0.8375,203.37,0.995833333,42.44,1,8.39,202.88,0.8375
2010,7,-32.77,0.967741935,746.63,1,10.61,0.75,202.39,0.991935484,45.25,1,10.26,202.37,0.75
2010,8,-30.82,0.935483871,750.81,1,NA,0.633064516,200.76,0.995967742,42.99,1,NA,NA,0.633064516
2010,9,-29.72,0.958333333,756.2,1,10.31,0.783333333,202.96,1,41.16,0.995833333,9.92,205.71,0.783333333
2010,10,-24.98,0.97983871,757.15,1,9.67,0.798387097,197.04,1,42.95,1,9.31,204.17,0.798387097
2010,11,-19.83,0.991666667,760.75,1,8.69,0.8125,193.21,0.995833333,39.34,1,8.16,204.35,0.8125
2010,12,-13.78,0.891129032,776.44,1,8.7,0.919354839,187.01,1,48.01,1,8.28,199.76,0.919354839
2011,1,NA,0.169354839,NA,0.225806452,NA,0.225806452,NA,0.225806452,NA,0.225806452,NA,NA,0.225806452
