Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1998,12,NA,0.161290323,NA,0.217741935,NA,0.197580645,NA,0.217741935,NA,0.217741935,NA,NA,0.197580645
1999,1,NA,0.5,758.6,0.774193548,8.65,0.75,141.78,0.774193548,60.94,0.77016129,4.1,121.05,0.75
1999,2,NA,0.549107143,NA,0.714285714,NA,0.705357143,NA,0.714285714,NA,0.714285714,NA,NA,0.705357143
1999,3,NA,0.592741935,NA,0.713709677,NA,0.673387097,NA,0.685483871,NA,0.713709677,NA,NA,0.64516129
1999,4,NA,0.654166667,NA,0.695833333,NA,0.654166667,NA,0.645833333,NA,0.691666667,NA,NA,0.6375
1999,5,NA,0.629032258,NA,0.689516129,NA,0.677419355,NA,0.685483871,NA,0.685483871,NA,NA,0.673387097
1999,6,NA,0.6875,NA,0.716666667,NA,0.708333333,NA,0.670833333,NA,0.716666667,NA,NA,0.6625
1999,7,NA,0.705645161,NA,0.713709677,NA,0.701612903,NA,0.693548387,NA,0.713709677,NA,NA,0.681451613
1999,8,NA,0.165322581,NA,0.185483871,NA,0.076612903,NA,0.137096774,NA,0.185483871,NA,NA,0.076612903
1999,9,NA,0.654166667,NA,0.6875,NA,0.679166667,NA,0.6625,NA,0.6875,NA,NA,0.654166667
1999,10,NA,0.588709677,NA,0.693548387,NA,0.685483871,NA,0.681451613,NA,0.689516129,NA,NA,0.673387097
1999,11,NA,0.470833333,NA,0.704166667,NA,0.658333333,NA,0.670833333,NA,0.683333333,NA,NA,0.65
1999,12,NA,0.532258065,751.46,0.766129032,NA,0.745967742,NA,0.705645161,59.02,0.754032258,NA,NA,0.685483871
2000,1,NA,0.536290323,754.88,0.754032258,NA,0.72983871,NA,0.717741935,NA,0.745967742,NA,NA,0.693548387
2000,2,NA,0.512931034,754.78,0.754310345,NA,0.737068966,NA,0.732758621,64.53,0.754310345,NA,NA,0.715517241
2000,3,NA,0.620967742,NA,0.725806452,NA,0.713709677,NA,0.669354839,NA,0.725806452,NA,NA,0.657258065
2000,4,NA,0.6875,NA,0.7,NA,0.6875,NA,0.545833333,NA,0.7,NA,NA,0.529166667
2000,5,NA,0.705645161,NA,0.721774194,NA,0.508064516,NA,0.471774194,NA,0.717741935,NA,NA,0.459677419
2000,6,NA,0.345833333,NA,0.35,NA,0.158333333,NA,0.120833333,NA,0.35,NA,NA,0.120833333
2000,7,NA,0.330645161,NA,0.366935484,NA,0,NA,0,NA,0.366935484,NA,NA,0
2000,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,4,NA,0.641666667,NA,0.695833333,NA,0.683333333,NA,0.604166667,NA,0,NA,NA,0.591666667
2003,5,NA,0.737903226,752.82,0.822580645,NA,0.580645161,NA,0.552419355,NA,0,NA,NA,0.544354839
2003,6,-33.84,0.783333333,761.95,0.816666667,11.48,0.783333333,NA,0.716666667,NA,0,NA,NA,0.6875
2003,7,-38.25,0.798387097,750.42,0.85483871,NA,0.016129032,NA,0.012096774,NA,0,NA,NA,0.012096774
2003,8,NA,0.709677419,NA,0.72983871,NA,0.048387097,NA,0.032258065,NA,0,NA,NA,0.032258065
