Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2016,12,NA,0.451612903,NA,0.483870968,NA,0.451612903,NA,0.47983871,NA,0.47983871,NA,NA,0.451612903
2017,1,-14.29,0.838709677,774.39,0.995967742,8.83,0.89516129,70.4,0.97983871,72.5,0.97983871,8.38,66.94,0.879032258
2017,2,-19.36,0.821428571,768.89,0.995535714,9.64,0.96875,73.5,0.973214286,74.47,0.96875,9.13,73.03,0.941964286
2017,3,-28.08,0.887096774,763.73,1,11.63,0.975806452,79.75,0.991935484,72.35,0.991935484,11.15,80.63,0.967741935
2017,4,-32.23,0.970833333,756.04,1,12.2,0.9875,76.61,0.991666667,71.34,0.991666667,11.79,76.15,0.979166667
2017,5,-31.98,0.915322581,759.38,1,13.51,0.943548387,87.5,0.967741935,71.69,0.971774194,12.91,87.6,0.911290323
2017,6,-34.91,0.970833333,759.34,0.995833333,11,0.995833333,77.18,0.979166667,69.65,0.975,10.4,76.9,0.975
2017,7,-31.56,0.983870968,761.32,1,12.15,0.939516129,79.81,0.97983871,71.93,0.963709677,11.65,79.8,0.923387097
2017,8,-32.55,0.951612903,752.87,1,12.15,0.959677419,72.94,0.97983871,71.34,0.991935484,11.34,71.74,0.939516129
2017,9,-33.69,0.925,753.3,1,10.8,0.9375,81.21,0.991666667,69.53,0.991666667,10.19,81.27,0.929166667
2017,10,-31.18,0.85483871,759.7,1,11.19,0.983870968,83.81,0.983870968,69.02,0.983870968,10.91,85.32,0.967741935
2017,11,-18.68,0.75,764.1,1,10.03,0.95,75.78,0.9875,67.83,0.983333333,9.62,74.39,0.9375
2017,12,-16.91,0.822580645,767.24,0.995967742,9.4,0.923387097,71.66,0.987903226,70.44,0.987903226,8.94,70.74,0.911290323
2018,1,-15.81,0.794354839,768.29,1,9.59,0.911290323,73.7,0.983870968,68.63,0.983870968,9.3,73.03,0.89516129
