Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,1,NA,0.52016129,NA,0.697580645,NA,0.596774194,NA,0.576612903,NA,0.705645161,NA,NA,0.47983871
2008,2,NA,0.327586207,NA,0.426724138,NA,0.357758621,NA,0.323275862,NA,0.431034483,NA,NA,0.284482759
2008,3,NA,0.213709677,NA,0.225806452,NA,0.149193548,NA,0.169354839,NA,0.225806452,NA,NA,0.137096774
2008,4,NA,0.029166667,NA,0.029166667,NA,0,NA,0.016666667,NA,0.029166667,NA,NA,0
2008,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,9,NA,0.1,NA,0.108333333,NA,0,NA,0.075,NA,0.108333333,NA,NA,0
2008,10,NA,0.330645161,NA,0.342741935,NA,0,NA,0.278225806,NA,0.350806452,NA,NA,0
2008,11,NA,0.341666667,NA,0.354166667,NA,0.195833333,NA,0.320833333,NA,0.366666667,NA,NA,0.183333333
2008,12,NA,0.431451613,NA,0.524193548,NA,0.471774194,NA,0.455645161,NA,0.532258065,NA,NA,0.419354839
2009,1,NA,0.451612903,NA,0,NA,0.431451613,NA,0.399193548,NA,0.463709677,NA,NA,0.39516129
2009,2,NA,0.138392857,NA,0,NA,0.120535714,NA,0.107142857,NA,0.147321429,NA,NA,0.102678571
2009,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,1,NA,0.463709677,NA,0,NA,0.512096774,NA,0.459677419,NA,0.508064516,NA,NA,0.447580645
2010,2,NA,0.03125,NA,0,NA,0.040178571,NA,0.03125,NA,0.035714286,NA,NA,0.03125
2010,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,1,-19.63,0.814516129,709.79,0.995967742,7.01,0.975806452,155.37,0.846774194,59.81,0.971774194,6.32,9.92,0.826612903
2013,2,-27.15,0.78125,702.1,0.946428571,8.29,0.946428571,142.38,0.794642857,60.32,0.941964286,7.11,11.97,0.790178571
2013,3,-40.93,0.883064516,692.39,0.963709677,NA,0.012096774,45.71,0.907258065,54.98,0.967741935,NA,NA,0.012096774
2013,4,-40.44,0.9125,697.22,0.958333333,NA,0,96.65,0.883333333,58.11,0.975,NA,NA,0
2013,5,-42,0.947580645,695.08,0.971774194,NA,0,56.57,0.89516129,56.63,0.951612903,NA,NA,0
2013,6,-39.36,0.941666667,707.23,0.9875,NA,0,51.49,0.925,59.38,1,NA,NA,0
2013,7,-41.07,0.959677419,697.44,0.967741935,NA,0,68.17,0.879032258,57.84,0.975806452,NA,NA,0
2013,8,-41.34,0.987903226,704.07,0.967741935,NA,0,40.95,0.786290323,57.44,0.987903226,NA,NA,0
2013,9,-35.48,0.933333333,705.64,0.966666667,NA,0,40.9,0.8875,62.75,0.991666667,NA,NA,0
2013,10,-33.05,0.762096774,701.51,0.923387097,NA,0,81.75,0.891129032,58.49,0.915322581,NA,NA,0
2013,11,NA,0.629166667,708.48,0.979166667,9.41,0.933333333,77.45,0.8125,57.67,0.9875,8.64,25.37,0.7625
2013,12,-20.29,0.766129032,708.41,0.935483871,7.17,0.907258065,85.92,0.818548387,54.36,0.911290323,6.8,18.95,0.790322581
