Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2017,11,NA,0.204166667,NA,0.241666667,NA,0.204166667,NA,0.241666667,NA,0,NA,NA,0.204166667
2017,12,NA,0.689516129,987.93,0.955645161,3.56,0.883064516,143.9,0.955645161,78.67,0.786290323,1.6,67.01,0.883064516
2018,1,NA,0.072580645,NA,0.173387097,NA,0.100806452,NA,0.100806452,NA,0.100806452,NA,NA,0.100806452
2018,2,-13.15,0.754464286,986.69,1,3.67,0.9375,104.03,0.995535714,71.09,1,2.73,77.96,0.9375
2018,3,-18.44,0.778225806,988.72,1,5.09,0.802419355,111.05,1,70.39,1,2.94,87.4,0.802419355
2018,4,NA,0.4125,NA,0.570833333,NA,0.558333333,NA,0.566666667,NA,0.570833333,NA,NA,0.558333333
2018,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2018,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2018,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2018,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2018,9,NA,0.2625,NA,0.3,NA,0.1875,NA,0.216666667,NA,0.266666667,NA,NA,0.1875
2018,10,NA,0.673387097,979.11,0.77016129,NA,0.64516129,141.23,0.794354839,NA,0.741935484,NA,NA,0.64516129
2018,11,NA,0.108333333,NA,0.108333333,NA,0.108333333,NA,0.108333333,NA,0.108333333,NA,NA,0.108333333
2018,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,1,NA,0.068548387,NA,0.088709677,NA,0.088709677,NA,0.088709677,NA,0.088709677,NA,NA,0.088709677
2019,2,-9.84,0.816964286,991.71,1,4.82,0.879464286,119.42,1,72.97,1,2.87,125.72,0.879464286
2019,3,-19.47,0.919354839,989.38,1,4.36,0.891129032,101.12,1,71.13,1,3.12,89.71,0.891129032
2019,4,NA,0.716666667,986.63,1,4.08,0.833333333,128.25,0.975,69.21,1,2.11,101.96,0.833333333
2019,5,NA,0.592741935,986.44,0.806451613,NA,0.592741935,120.75,0.806451613,67.97,0.806451613,NA,NA,0.592741935
2019,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2020,1,NA,0.745967742,994.5,1,3.62,0.943548387,115.3,0.995967742,81.1,1,2.65,83.93,0.943548387
2020,2,-9.39,0.771551724,986.72,1,4.34,0.918103448,114.79,1,77.04,1,2.35,94.81,0.918103448
2020,3,-23.28,0.887096774,983.49,1,4.55,0.879032258,95.18,1,71.86,1,3.51,78.47,0.879032258
2020,4,NA,0.720833333,986.54,1,NA,0.7,113.16,0.845833333,72.04,1,NA,NA,0.7
2020,5,-27.09,0.782258065,983.8,1,3.17,0.875,139.23,0.983870968,71.96,1,1.35,98.79,0.875
2020,6,NA,0.704166667,983.33,1,NA,0.583333333,122.91,0.904166667,70.25,1,NA,NA,0.583333333
2020,7,-28.42,0.754032258,987.97,1,4.09,0.75,106.21,0.883064516,68.66,1,2.25,106.07,0.75
2020,8,-26,0.798387097,989.52,1,NA,0.625,127.01,0.903225806,72.65,1,NA,NA,0.625
2020,9,-27.35,0.820833333,988.96,1,NA,0.379166667,NA,0.554166667,68.04,1,NA,NA,0.379166667
2020,10,-19.61,0.826612903,977.04,1,4.06,0.866935484,122.79,1,66.25,1,1.7,99.21,0.866935484
2020,11,-13.15,0.791666667,980.78,1,3.18,0.883333333,130.5,1,68.89,1,1.75,79.53,0.883333333
2020,12,-6.01,0.782258065,980.15,1,3.95,0.887096774,114.15,1,73.88,1,1.72,97.78,0.887096774
2021,1,NA,0.713709677,985.03,1,3.94,0.891129032,124.42,0.995967742,76.57,1,1.88,99.05,0.891129032
2021,2,NA,0.732142857,982.52,1,3.57,0.915178571,105.88,1,72.34,1,2.69,85.84,0.915178571
2021,3,-20.96,0.826612903,990.56,1,5.05,0.834677419,101.57,1,71.43,1,3.86,83.3,0.834677419
2021,4,-30.78,0.7875,985.86,1,4.32,0.908333333,107.5,1,67.58,1,2.8,92.34,0.908333333
2021,5,-27.01,0.782258065,988.19,1,NA,0.681451613,126.65,0.887096774,70.51,1,NA,NA,0.681451613
2021,6,NA,0.683333333,986.56,1,NA,0.729166667,139.83,0.879166667,70.43,1,NA,NA,0.729166667
2021,7,-24.92,0.838709677,992.74,1,4.18,0.842741935,104.13,1,68.64,1,2.76,86.28,0.842741935
2021,8,-37.4,0.782258065,994.6,1,3.31,0.911290323,112.65,0.971774194,64.74,1,2.07,75.46,0.911290323
2021,9,NA,0.733333333,979.31,1,3.86,0.8375,124.78,0.995833333,68.59,1,1.98,90.77,0.8375
2021,10,NA,0.737903226,984.07,1,3.96,0.846774194,117.88,1,61.9,1,2.1,84.51,0.846774194
2021,11,-11.29,0.875,979.45,1,3.84,0.845833333,133.88,0.991666667,70.02,1,1.48,97.1,0.845833333
2021,12,NA,0.572580645,NA,0.717741935,NA,0.596774194,NA,0.713709677,NA,0.717741935,NA,NA,0.596774194
