Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1992,12,NA,0.080645161,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,1.07,0.97983871,987.82,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1993,2,-2.44,0.973214286,970.83,1,NA,0,NA,0,NA,0,NA,NA,0
1993,3,-9.16,0.987903226,978.89,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1993,4,-16.32,0.9875,976.03,0.991666667,NA,0,NA,0,NA,0,NA,NA,0
1993,5,-21.21,0.983870968,975.41,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1993,6,-19.07,0.975,967.97,0.983333333,NA,0,NA,0,NA,0,NA,NA,0
1993,7,-20.16,0.975806452,967.24,0.983870968,NA,0,NA,0,NA,0,NA,NA,0
1993,8,-22.87,0.975806452,970.72,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1993,9,-18.29,0.958333333,969.59,1,NA,0,NA,0,NA,0,NA,NA,0
1993,10,-14.33,0.947580645,966.63,0.995967742,NA,0,NA,0,NA,0,NA,NA,0
1993,11,-6,0.9125,973.02,0.991666667,NA,0,NA,0,NA,0,NA,NA,0
1993,12,-0.89,0.97983871,976.11,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1994,1,0.37,0.919354839,978.42,0.975806452,NA,0,NA,0,NA,0,NA,NA,0
1994,2,-4.52,0.973214286,974.84,0.977678571,NA,0,NA,0,NA,0,NA,NA,0
1994,3,-13.98,0.955645161,971.09,0.951612903,NA,0,NA,0,NA,0,NA,NA,0
1994,4,-13.68,0.991666667,977.81,0.991666667,NA,0,NA,0,NA,0,NA,NA,0
1994,5,-21.63,0.963709677,978.76,0.97983871,NA,0,NA,0,NA,0,NA,NA,0
1994,6,-20.14,0.970833333,992.71,0.991666667,NA,0,NA,0,NA,0,NA,NA,0
1994,7,-18.61,0.955645161,982.17,0.983870968,NA,0,NA,0,NA,0,NA,NA,0
1994,8,-24.82,0.983870968,969.59,1,NA,0,NA,0,NA,0,NA,NA,0
1994,9,-19.65,0.945833333,981.85,0.983333333,NA,0,NA,0,NA,0,NA,NA,0
1994,10,-12.94,0.903225806,970.48,0.97983871,NA,0,NA,0,NA,0,NA,NA,0
