Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,5,-2.23,0.858870968,991.98,0.858870968,NA,0.608870968,NA,0.709677419,80.54,0.858870968,NA,NA,0.608870968
2014,6,-4.17,0.9875,990.24,1,NA,0.704166667,124.55,0.870833333,82.99,1,NA,NA,0.704166667
2014,7,-6.41,0.862903226,989.91,1,NA,0.588709677,NA,0.717741935,85.38,1,NA,NA,0.588709677
2014,8,-8.05,0.814516129,994.41,1,NA,0.572580645,NA,0.653225806,82.38,1,NA,NA,0.572580645
2014,9,-5.98,0.879166667,995.77,1,3.46,0.775,125.4,0.883333333,81.26,1,2.2,64.66,0.775
2014,10,-4.76,0.891129032,978.56,1,3.57,0.762096774,127.04,0.883064516,81.99,1,1.88,60.95,0.762096774
2014,11,-2.78,0.9375,978.02,1,2.88,0.870833333,142.31,0.991666667,73.32,1,1.41,63.82,0.870833333
2014,12,NA,0.427419355,981.58,1,2.33,0.903225806,172.99,0.983870968,79.01,1,0.27,30.23,0.903225806
2015,1,NA,0.536290323,988.22,1,3.13,0.883064516,125.18,0.975806452,83.63,1,2.13,57.01,0.883064516
2015,2,NA,0.584821429,983.44,1,3.78,0.857142857,135.05,0.986607143,82.91,1,2,55.88,0.857142857
2015,3,-0.73,0.991935484,984.41,0.995967742,3.77,0.77016129,123.74,0.899193548,84.62,1,2.14,66.37,0.77016129
2015,4,-1.56,1,984.58,1,4.77,0.8,130.11,0.979166667,81.04,1,2.55,65.87,0.8
2015,5,-4.19,0.987903226,988.75,1,2.77,0.798387097,153.82,0.85483871,79.98,1,1,127.6,0.798387097
2015,6,-8.85,0.975,981.05,1,3.38,0.770833333,143.44,0.9375,74.59,1,1.41,111.59,0.770833333
2015,7,-14.74,0.798387097,983.43,1,NA,0.572580645,NA,0.725806452,80.62,1,NA,NA,0.572580645
2015,8,-11.38,0.818548387,980.94,0.995967742,NA,0.548387097,135.86,0.762096774,81.92,1,NA,NA,0.548387097
2015,9,-12.79,0.875,982.13,1,2.56,0.75,170.94,0.9125,82.23,1,0.33,94.18,0.75
2015,10,-3.72,0.963709677,989.3,1,3.5,0.790322581,144.04,0.947580645,84.98,1,1.31,56.93,0.790322581
2015,11,-1.98,0.991666667,978.98,1,4.31,0.75,125.56,0.9625,78.83,1,2.49,56.88,0.75
2015,12,NA,0.616935484,984.02,1,3.33,0.879032258,142.11,0.991935484,78.37,1,1.29,50.05,0.879032258
2016,1,NA,0.584677419,986.34,1,2.88,0.778225806,135.82,0.830645161,81.17,1,1.54,59.94,0.778225806
2016,2,NA,0.560344828,983.41,1,3.12,0.86637931,125.38,0.978448276,81.77,1,1.52,61.23,0.86637931
2016,3,-0.52,1,980.11,1,NA,0.713709677,128.53,0.935483871,82.16,1,NA,NA,0.713709677
2016,4,-4.13,1,984.81,0.995833333,3.49,0.791666667,148.42,0.983333333,74.9,1,1.14,86.45,0.791666667
2016,5,-2.98,0.97983871,1001.64,1,NA,0.540322581,NA,0.576612903,86.81,1,NA,NA,0.540322581
2016,6,-3.1,0.9875,986.32,1,NA,0.416666667,NA,0.4625,86,1,NA,NA,0.416666667
2016,7,-11.85,0.923387097,994.8,1,NA,0.375,NA,0.459677419,85.29,1,NA,NA,0.375
2016,8,-11.56,0.850806452,992.17,1,NA,0.580645161,NA,0.681451613,82.1,1,NA,NA,0.580645161
2016,9,-3.12,0.9125,983.36,1,NA,0.65,138.01,0.845833333,87.13,1,NA,NA,0.65
2016,10,-1.98,0.967741935,989.55,1,3.92,0.834677419,143.51,0.963709677,84.24,1,1.7,52.51,0.834677419
2016,11,-2,0.920833333,981.98,1,2.8,0.870833333,143.61,0.970833333,77.36,1,1.48,65.9,0.870833333
2016,12,NA,0.330645161,989.99,1,1.79,0.951612903,158.09,0.991935484,76.5,1,0.46,84.65,0.951612903
2017,1,NA,0.419354839,986.06,1,2.39,0.903225806,140.03,0.995967742,72.54,1,1.2,80.54,0.903225806
2017,2,NA,0.464285714,991.4,1,2.56,0.910714286,135.99,1,80.57,1,1.35,78.4,0.910714286
2017,3,0.62,0.995967742,998.44,1,3.07,0.883064516,135.26,0.975806452,82.37,1,1.75,65.02,0.883064516
2017,4,-2.27,0.995833333,991.75,1,2.78,0.908333333,151.81,0.995833333,79.47,1,0.98,116.16,0.908333333
2017,5,-1.58,0.995967742,986.55,1,NA,0.649193548,118.71,0.838709677,80.27,1,NA,NA,0.649193548
2017,6,-4.43,0.979166667,984.49,1,NA,0.7125,130.43,0.958333333,74.37,1,NA,NA,0.7125
2017,7,-5.31,0.975806452,981.22,1,NA,0.705645161,142.57,0.887096774,72.91,1,NA,NA,0.705645161
2017,8,-5.24,0.97983871,985.36,1,3.7,0.778225806,137.05,0.975806452,76.49,1,1.57,77.96,0.778225806
2017,9,-10.26,0.845833333,973.05,0.983333333,NA,0.570833333,154.24,0.9625,83.05,1,NA,NA,0.570833333
2017,10,-4.68,0.915322581,980.23,1,3.21,0.774193548,155.28,0.915322581,79.84,1,1.12,60.17,0.774193548
2017,11,-1.95,0.9125,984.15,1,3.73,0.833333333,137.81,0.954166667,79.84,1,1.92,55.3,0.833333333
2017,12,NA,0.512096774,976.59,0.995967742,2.69,0.879032258,136.28,0.995967742,74.54,0.995967742,1.07,69.99,0.879032258
2018,1,NA,0.455645161,983.17,1,2.37,0.915322581,135.79,0.97983871,79.87,1,1.22,69.73,0.915322581
2018,2,NA,0.59375,980.22,1,3.59,0.861607143,128.71,0.991071429,81.59,1,2.23,63.51,0.861607143
2018,3,0.08,1,976.31,1,4.41,0.806451613,121.68,0.927419355,79.68,1,2.69,72.44,0.806451613
2018,4,-1.13,1,984.08,1,4.17,0.770833333,109.01,0.8875,78.66,1,3.32,70.91,0.770833333
2018,5,-4.18,1,986.27,1,NA,0.725806452,151.41,0.915322581,77.16,1,NA,NA,0.725806452
2018,6,-4.25,0.995833333,990.93,1,NA,0.7125,124.12,0.8125,77.91,1,NA,NA,0.7125
2018,7,-7.84,0.947580645,989.5,1,NA,0.669354839,134.3,0.834677419,82.79,1,NA,NA,0.669354839
2018,8,-8.71,0.862903226,983.87,1,NA,0.657258065,141.93,0.814516129,82.6,1,NA,NA,0.657258065
2018,9,-8.56,0.829166667,985.83,1,NA,0.7,143.79,0.820833333,81.52,1,NA,NA,0.7
2018,10,-4.03,0.875,991.69,1,2.42,0.858870968,159.1,0.955645161,80.79,1,0.37,76.48,0.858870968
2018,11,-0.86,0.970833333,973.81,1,4.35,0.770833333,111.64,0.9375,81.3,1,3.44,52.17,0.770833333
2018,12,NA,0.612903226,975.49,1,3.63,0.810483871,145.82,0.923387097,79.38,1,1.41,53.87,0.810483871
2019,1,NA,0.314516129,981.92,1,1.73,0.995967742,153.29,1,78.51,1,0.46,77.8,0.995967742
2019,2,NA,0.473214286,988.04,1,2.56,0.941964286,129.81,0.982142857,75.65,1,1.47,78.16,0.941964286
2019,3,-0.27,1,986.66,1,3.43,0.862903226,122.9,0.959677419,81.3,1,2.1,62,0.862903226
2019,4,-1.71,1,981.97,1,4.02,0.779166667,124.03,0.929166667,74.51,1,2.65,79.01,0.779166667
2019,5,-5,0.995967742,984.52,1,4.27,0.802419355,125.32,0.85483871,76.59,1,2.69,74.15,0.802419355
2019,6,-5.51,0.966666667,990.58,1,NA,0.7375,135.25,0.8375,78.22,1,NA,NA,0.7375
2019,7,-7.37,0.89516129,998.7,1,NA,0.625,NA,0.717741935,82.67,1,NA,NA,0.625
2019,8,-8.24,0.927419355,994.04,1,NA,0.64516129,NA,0.709677419,80.27,1,NA,NA,0.64516129
2019,9,-7.89,0.841666667,987.11,1,3.15,0.791666667,154.97,0.933333333,80.68,1,0.79,68.71,0.791666667
2019,10,-4.08,0.939516129,983.74,1,4.47,0.758064516,133.83,0.947580645,80.89,1,2.54,61.68,0.758064516
2019,11,-1.6,0.945833333,983.47,1,3.01,0.85,157.47,0.975,78.29,1,0.66,62.88,0.85
2019,12,NA,0.258064516,991.13,1,1.54,0.959677419,162.5,0.991935484,74.11,1,0.39,111.86,0.959677419
2020,1,NA,0.427419355,986.62,1,2.14,0.967741935,142.69,1,81.92,1,0.76,83.43,0.967741935
2020,2,NA,0.431034483,990.28,1,2.37,0.935344828,140.88,0.995689655,81.58,1,1.08,85.46,0.935344828
2020,3,-0.16,0.995967742,982.99,0.995967742,4.2,0.842741935,117.39,0.955645161,78.4,0.995967742,2.65,64.78,0.842741935
2020,4,-1.88,0.995833333,983.31,1,NA,0.716666667,130.1,0.875,76.08,1,NA,NA,0.716666667
2020,5,-3.11,0.995967742,994.36,1,3.2,0.842741935,148.67,0.923387097,78.3,1,1.19,109.82,0.842741935
2020,6,-4.05,1,990.28,0.995833333,NA,0.7375,133.93,0.858333333,79.81,1,NA,NA,0.7375
2020,7,-6.63,0.971774194,999.65,1,2.8,0.762096774,151.87,0.85483871,79.49,1,0.91,138.16,0.762096774
2020,8,-5.33,0.967741935,988.18,1,4.03,0.798387097,108.95,0.903225806,77.33,1,2.48,67.69,0.798387097
2020,9,-6.51,0.945833333,983.11,1,2.87,0.845833333,151.07,0.95,80.32,1,0.84,93.95,0.845833333
2020,10,-3.5,0.963709677,979.55,1,NA,0.733870968,150.94,0.951612903,80.57,1,NA,NA,0.733870968
2020,11,-0.65,0.983333333,975.68,1,4.53,0.7625,117.56,0.908333333,81.66,1,3.01,50.72,0.7625
2020,12,NA,0.596774194,977.78,1,3.16,0.814516129,126.69,0.947580645,78.84,1,1.76,52.29,0.814516129
2021,1,NA,0.560483871,981.96,1,3.63,0.879032258,126.6,0.963709677,78.08,1,2.29,62,0.879032258
2021,2,NA,0.651785714,979.69,1,NA,0.723214286,111.36,0.9375,83.19,1,NA,NA,0.723214286
2021,3,-0.31,1,979.61,1,NA,0.725806452,139.69,0.947580645,75.89,1,NA,NA,0.725806452
2021,4,-2.48,0.991666667,982.28,1,3.92,0.779166667,137.44,0.929166667,77.56,1,2.15,80.15,0.779166667
2021,5,-3.43,0.995967742,989.59,1,NA,0.717741935,112.27,0.887096774,75.88,1,NA,NA,0.717741935
2021,6,-4.29,0.979166667,990.76,0.995833333,NA,0.695833333,131.28,0.795833333,79.52,0.995833333,NA,NA,0.695833333
2021,7,-4.7,0.975806452,988.47,1,3.47,0.754032258,130.52,0.899193548,75.89,1,1.81,88.73,0.754032258
2021,8,NA,0.637096774,NA,0.64516129,NA,0.362903226,NA,0.52016129,NA,0.64516129,NA,NA,0.362903226
2021,9,-3.34,0.983333333,975.67,0.995833333,NA,0.675,113.41,0.883333333,83.35,1,NA,NA,0.675
2021,10,-1.78,0.947580645,971.68,1,NA,0.697580645,104.55,0.955645161,80.62,1,NA,NA,0.697580645
2021,11,-0.77,0.925,978.36,1,5.07,0.816666667,110.68,0.95,79.32,1,3.91,52.21,0.816666667
2021,12,NA,0.741935484,973.39,0.983870968,NA,0.709677419,130.08,0.891129032,83.38,0.983870968,NA,NA,0.709677419
