Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,1,NA,0.387096774,NA,0.447580645,NA,0.383064516,NA,0.443548387,NA,0.447580645,NA,NA,0.383064516
2014,2,-20.45,0.964285714,892.02,1,9.35,0.830357143,212.07,0.973214286,74.66,1,8.53,213.95,0.830357143
2014,3,-29.23,0.826612903,891.65,0.826612903,12.37,0.75,209.57,0.798387097,68.83,0.826612903,11.66,210.54,0.75
2014,4,NA,0.558333333,NA,0.558333333,NA,0.470833333,NA,0.541666667,NA,0.558333333,NA,NA,0.470833333
2014,5,NA,0.705645161,NA,0.705645161,NA,0.524193548,NA,0.616935484,NA,0.705645161,NA,NA,0.524193548
2014,6,NA,0.695833333,NA,0.695833333,NA,0.591666667,NA,0.6875,NA,0.695833333,NA,NA,0.591666667
2014,7,NA,0.282258065,NA,0.282258065,NA,0.060483871,NA,0.064516129,NA,0.282258065,NA,NA,0.060483871
2014,8,NA,0.689516129,NA,0.717741935,NA,0.508064516,NA,0.653225806,NA,0.717741935,NA,NA,0.508064516
2014,9,NA,0.5625,NA,0.5625,NA,0.470833333,NA,0.55,NA,0.5625,NA,NA,0.470833333
2014,10,NA,0.431451613,NA,0.431451613,NA,0.193548387,NA,0.221774194,NA,0.431451613,NA,NA,0.193548387
2014,11,-17.89,0.975,889.43,0.975,7.36,0.820833333,211.23,0.9625,73.18,0.975,6.45,213.59,0.820833333
2014,12,-12.19,0.846774194,888.32,1,5.73,0.887096774,196.18,0.97983871,75.7,1,4.64,212.13,0.887096774
2015,1,-11.55,0.907258065,893.76,1,6.11,0.947580645,205.94,1,74.43,1,5.57,208.67,0.947580645
2015,2,-18.32,1,888.17,1,9.92,0.879464286,207.15,0.995535714,70.92,1,9,205.8,0.879464286
2015,3,-27.05,0.858870968,887.36,0.858870968,11.32,0.758064516,216.65,0.858870968,73.57,0.858870968,10.64,215.66,0.758064516
2015,4,-27.95,0.941666667,885.39,0.975,10.59,0.8,204.35,0.8875,78.39,0.975,8.39,215.12,0.8
2015,5,NA,0.5,NA,0.5,NA,0.459677419,NA,0.495967742,NA,0.5,NA,NA,0.459677419
2015,6,NA,0.208333333,NA,0.208333333,NA,0.208333333,NA,0.208333333,NA,0.208333333,NA,NA,0.208333333
2015,7,NA,0.568548387,NA,0.572580645,NA,0.245967742,NA,0.294354839,NA,0.572580645,NA,NA,0.245967742
2015,8,-32.64,0.75,881.1,0.77016129,NA,0.330645161,NA,0.383064516,73.55,0.77016129,NA,NA,0.330645161
2015,9,NA,0.575,NA,0.579166667,NA,0.0375,NA,0.045833333,NA,0.579166667,NA,NA,0.0375
2015,10,-26.22,0.947580645,891.58,0.975806452,11.03,0.826612903,202.49,0.963709677,73.15,0.975806452,9.68,211.38,0.826612903
2015,11,-17.4,0.991666667,887.14,0.995833333,7.19,0.866666667,190.5,0.991666667,78.46,0.995833333,5.07,210.18,0.866666667
