Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,2,NA,0.543103448,NA,0.599137931,NA,0,NA,0.586206897,NA,0.599137931,NA,NA,0
2000,3,NA,0.608870968,NA,0.612903226,NA,0,NA,0.592741935,NA,0.612903226,NA,NA,0
2000,4,NA,0.616666667,NA,0.616666667,NA,0,NA,0.6125,NA,0.6125,NA,NA,0
2000,5,NA,0.629032258,NA,0.649193548,NA,0,NA,0.641129032,NA,0.653225806,NA,NA,0
2000,6,NA,0.695833333,NA,0.7,NA,0,NA,0.658333333,NA,0.7,NA,NA,0
2000,7,NA,0.64516129,NA,0.657258065,NA,0,NA,0.629032258,NA,0.657258065,NA,NA,0
2000,8,NA,0.600806452,NA,0.625,NA,0,NA,0.608870968,NA,0.625,NA,NA,0
2000,9,NA,0.6625,NA,0.675,NA,0,NA,0.65,NA,0.675,NA,NA,0
2000,10,NA,0.641129032,NA,0.677419355,NA,0,NA,0.629032258,NA,0.673387097,NA,NA,0
2000,11,NA,0.595833333,NA,0.625,NA,0,NA,0.608333333,NA,0.625,NA,NA,0
2000,12,NA,0.649193548,NA,0.673387097,NA,0,NA,0.653225806,NA,0.665322581,NA,NA,0
2001,1,NA,0.637096774,NA,0.665322581,NA,0,NA,0.584677419,NA,0.665322581,NA,NA,0
2001,2,NA,0.625,NA,0.674107143,NA,0,NA,0.584821429,NA,0.674107143,NA,NA,0
2001,3,NA,0.661290323,NA,0.673387097,NA,0,NA,0.649193548,NA,0.673387097,NA,NA,0
2001,4,NA,0.675,NA,0.679166667,NA,0,NA,0.670833333,NA,0.679166667,NA,NA,0
2001,5,NA,0.681451613,NA,0.685483871,NA,0,NA,0.653225806,NA,0.681451613,NA,NA,0
2001,6,NA,0.645833333,NA,0.658333333,NA,0,NA,0.6625,NA,0.6625,NA,NA,0
2001,7,NA,0.528225806,NA,0.540322581,NA,0,NA,0.504032258,NA,0.544354839,NA,NA,0
2001,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,9,NA,0.3,NA,0.3,NA,0,NA,0.3,NA,0.3,NA,NA,0
2001,10,NA,0.572580645,NA,0.608870968,NA,0,NA,0.584677419,NA,0.60483871,NA,NA,0
2001,11,NA,0.645833333,NA,0.654166667,NA,0,NA,0.6,NA,0.6625,NA,NA,0
2001,12,NA,0.685483871,NA,0.721774194,NA,0,NA,0.564516129,NA,0.701612903,NA,NA,0
2002,1,NA,0.338709677,NA,0.350806452,NA,0,NA,0.350806452,NA,0.350806452,NA,NA,0
