Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1988,1,-0.43,0.814516129,987.65,0.991935484,4.51,0.758064516,161.37,0.943548387,NA,0,1.67,85.35,0.758064516
1988,2,0.44,0.952586207,981.46,0.978448276,NA,0.737068966,224.77,0.974137931,NA,0,NA,NA,0.737068966
1988,3,-0.82,0.967741935,978.45,0.967741935,NA,0.689516129,189.16,0.899193548,NA,0,NA,NA,0.677419355
1988,4,NA,0.3875,NA,0.391666667,NA,0,NA,0,NA,0,NA,NA,0
1988,5,NA,0.399193548,NA,0.399193548,NA,0,NA,0,NA,0,NA,NA,0
1988,6,NA,0.470833333,NA,0.475,NA,0,NA,0,NA,0,NA,NA,0
1988,7,NA,0,NA,0.419354839,NA,0,NA,0,NA,0,NA,NA,0
1988,8,NA,0,NA,0.475806452,NA,0,NA,0,NA,0,NA,NA,0
1988,9,NA,0,NA,0.533333333,NA,0,NA,0,NA,0,NA,NA,0
1988,10,NA,0.487903226,NA,0.487903226,NA,0,NA,0,NA,0,NA,NA,0
1988,11,NA,0.445833333,NA,0.45,NA,0.116666667,NA,0.116666667,NA,0,NA,NA,0.116666667
1988,12,NA,0.697580645,983.2,0.762096774,NA,0.153225806,NA,0.165322581,NA,0,NA,NA,0.153225806
1989,1,-0.43,0.995967742,986.15,1,NA,0,NA,0,NA,0,NA,NA,0
1989,2,NA,0,976.84,1,NA,0,NA,0,NA,0,NA,NA,0
1989,3,NA,0,973.66,0.995967742,NA,0,NA,0,NA,0,NA,NA,0
1989,4,NA,0,982.78,0.954166667,NA,0,NA,0,NA,0,NA,NA,0
1989,5,NA,0.044354839,NA,0.044354839,NA,0,NA,0,NA,0,NA,NA,0
1989,6,NA,0.016666667,NA,0.016666667,NA,0,NA,0,NA,0,NA,NA,0
1989,7,-13.73,0.766129032,981.73,0.987903226,NA,0,NA,0,NA,0,NA,NA,0
1989,8,NA,0.725806452,982.95,0.971774194,NA,0,NA,0,NA,0,NA,NA,0
1989,9,-11.98,0.8375,984.36,0.975,NA,0,NA,0,NA,0,NA,NA,0
1989,10,-9.42,0.842741935,976.5,0.959677419,NA,0,NA,0,NA,0,NA,NA,0
1989,11,-4.47,0.941666667,972.96,0.991666667,NA,0,NA,0,NA,0,NA,NA,0
1989,12,-1.31,0.939516129,986.49,0.975806452,NA,0,NA,0,NA,0,NA,NA,0
1990,1,-0.49,0.97983871,984,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1990,2,-0.69,0.991071429,976.37,0.991071429,NA,0,NA,0,NA,0,NA,NA,0
1990,3,-2.44,0.947580645,975.33,0.963709677,NA,0,NA,0,NA,0,NA,NA,0
1990,4,-10.62,0.933333333,983.52,0.9625,NA,0,NA,0,NA,0,NA,NA,0
1990,5,-9.42,0.915322581,986.54,0.935483871,NA,0,NA,0,NA,0,NA,NA,0
1990,6,-11.8,0.85,986.39,0.966666667,NA,0,NA,0,NA,0,NA,NA,0
1990,7,-9.35,0.967741935,992.28,0.995967742,NA,0,NA,0,NA,0,NA,NA,0
1990,8,-17.68,0.810483871,979.73,0.983870968,NA,0,NA,0,NA,0,NA,NA,0
1990,9,-15.81,0.8375,971.07,0.983333333,NA,0,NA,0,NA,0,NA,NA,0
1990,10,-12.28,0.879032258,976.77,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1990,11,-5.15,0.941666667,981.96,0.995833333,NA,0,NA,0,NA,0,NA,NA,0
1990,12,-1.01,0.995967742,980.53,1,NA,0,NA,0,NA,0,NA,NA,0
1991,1,-0.14,0.883064516,978.37,0.919354839,NA,0,NA,0,NA,0,NA,NA,0
1991,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,12,NA,0.120967742,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,-0.52,0.987903226,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,2,-1.06,0.96875,NA,0.066964286,NA,0,NA,0,NA,0,NA,NA,0
1993,3,-2.64,0.814516129,NA,0.72983871,NA,0,NA,0,NA,0,NA,NA,0
1993,4,-5.69,0.891666667,977.02,0.920833333,NA,0,NA,0,NA,0,NA,NA,0
1993,5,-9.54,0.862903226,975.34,0.983870968,NA,0,NA,0,NA,0,NA,NA,0
1993,6,-14.35,0.904166667,967.41,0.979166667,NA,0,NA,0,NA,0,NA,NA,0
1993,7,-17.28,0.85483871,975.12,0.963709677,NA,0,NA,0,NA,0,NA,NA,0
1993,8,-10.47,0.846774194,975.73,0.959677419,NA,0,NA,0,NA,0,NA,NA,0
1993,9,-12.31,0.8875,970.48,0.9625,NA,0,NA,0,NA,0,NA,NA,0
1993,10,-10.95,0.939516129,962.94,0.97983871,NA,0,NA,0,NA,0,NA,NA,0
1993,11,-4.71,0.933333333,974.77,0.941666667,NA,0,NA,0,NA,0,NA,NA,0
1993,12,-0.97,0.955645161,981.37,0.955645161,NA,0,NA,0,NA,0,NA,NA,0
1994,1,-1.59,0.927419355,979.65,0.927419355,NA,0,NA,0,NA,0,NA,NA,0
1994,2,-1.57,0.946428571,979.34,0.946428571,NA,0,NA,0,NA,0,NA,NA,0
1994,3,-3.05,0.89516129,973.69,0.89516129,NA,0,NA,0,NA,0,NA,NA,0
1994,4,-7.44,0.895833333,975.35,0.895833333,NA,0,NA,0,NA,0,NA,NA,0
1994,5,-8.45,0.883064516,982.34,0.883064516,NA,0,NA,0,NA,0,NA,NA,0
1994,6,-10.31,0.895833333,989.84,0.895833333,NA,0,NA,0,NA,0,NA,NA,0
1994,7,-14.33,0.883064516,986.49,0.883064516,NA,0,NA,0,NA,0,NA,NA,0
1994,8,-15.21,0.879032258,968.64,0.879032258,NA,0,NA,0,NA,0,NA,NA,0
1994,9,-13.27,0.870833333,980.83,0.870833333,NA,0,NA,0,NA,0,NA,NA,0
1994,10,-11.13,0.883064516,974.27,0.883064516,NA,0,NA,0,NA,0,NA,NA,0
1994,11,NA,0.529166667,NA,0.529166667,NA,0,NA,0,NA,0,NA,NA,0
1994,12,NA,0.387096774,NA,0.387096774,NA,0,NA,0,NA,0,NA,NA,0
1995,1,NA,0.004032258,NA,0.004032258,NA,0,NA,0,NA,0,NA,NA,0
1995,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,1,NA,0.133064516,NA,0.153225806,NA,0,NA,0,NA,0,NA,NA,0
1996,2,NA,0,NA,0.030172414,NA,0,NA,0,NA,0,NA,NA,0
1996,3,NA,0,NA,0.044354839,NA,0,NA,0,NA,0,NA,NA,0
1996,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,2,NA,0.558035714,NA,0.558035714,NA,0,NA,0,NA,0,NA,NA,0
1997,3,-1.43,0.983870968,972.74,0.983870968,NA,0,NA,0,NA,0,NA,NA,0
1997,4,-3.84,0.916666667,977.42,0.9625,NA,0,NA,0,NA,0,NA,NA,0
1997,5,-14.05,0.846774194,970.01,0.97983871,NA,0,NA,0,NA,0,NA,NA,0
1997,6,-13.33,0.85,975.09,0.9625,NA,0,NA,0,NA,0,NA,NA,0
1997,7,-15.71,0.774193548,977.48,0.951612903,NA,0,NA,0,NA,0,NA,NA,0
