Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1988,1,-13.53,0.762096774,859.53,0.995967742,7.12,0.850806452,290.07,0.987903226,NA,0,6.33,301.12,0.850806452
1988,2,-22.14,0.775862069,853.74,0.995689655,9.72,0.857758621,301.12,0.99137931,NA,0,9.26,309.17,0.857758621
1988,3,-32.55,0.927419355,852.38,0.991935484,NA,0.564516129,NA,0.681451613,NA,0,NA,NA,0.564516129
1988,4,-32.36,0.941666667,851.33,0.970833333,NA,0.183333333,NA,0.295833333,NA,0,NA,NA,0.183333333
1988,5,-37.65,0.951612903,855.98,0.995967742,NA,0.379032258,NA,0.419354839,NA,0,NA,NA,0.358870968
1988,6,-36.72,0.941666667,860.24,0.970833333,NA,0.320833333,NA,0.308333333,NA,0,NA,NA,0.2875
1988,7,-37.94,0.951612903,843.6,0.991935484,NA,0.475806452,NA,0.475806452,NA,0,NA,NA,0.431451613
1988,8,-35.13,0.879032258,844.07,0.963709677,NA,0.266129032,NA,0.35483871,NA,0,NA,NA,0.254032258
1988,9,-33.44,0.933333333,851.79,1,NA,0.2375,NA,0.2875,NA,0,NA,NA,0.2375
1988,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,11,NA,0.708333333,850.17,0.9625,NA,0.120833333,NA,0.120833333,NA,0,NA,NA,0.120833333
1988,12,NA,0.669354839,853.92,0.995967742,NA,0.516129032,NA,0.516129032,NA,0,NA,NA,0.516129032
1989,1,-13,0.758064516,856.26,1,NA,0,NA,0,43.66,1,NA,NA,0
1989,2,-23.21,0.803571429,853.06,1,NA,0,NA,0,44.94,1,NA,NA,0
1989,3,-29.81,0.935483871,851.78,1,NA,0,NA,0,46.5,1,NA,NA,0
1989,4,-32.34,0.925,855.21,0.966666667,NA,0,NA,0,45.51,0.966666667,NA,NA,0
1989,5,-38.61,0.959677419,840.09,0.975806452,NA,0,NA,0,40.93,0.971774194,NA,NA,0
1989,6,-41.88,0.9625,845.15,1,NA,0,NA,0,38.65,1,NA,NA,0
1989,7,-36.89,0.903225806,847.91,0.967741935,NA,0,NA,0,42.45,0.967741935,NA,NA,0
1989,8,-40.52,0.931451613,850.4,0.991935484,NA,0,NA,0,40.02,0.991935484,NA,NA,0
1989,9,-33.97,0.9125,852.5,0.995833333,NA,0,NA,0,42.56,0.995833333,NA,NA,0
1989,10,-30.77,0.842741935,844.94,0.967741935,NA,0,NA,0,43.47,0.967741935,NA,NA,0
1989,11,NA,0.733333333,846.56,0.991666667,NA,0,NA,0,41.78,0.991666667,NA,NA,0
1989,12,NA,0.72983871,859.62,0.983870968,NA,0,NA,0,41.94,0.983870968,NA,NA,0
1990,1,NA,0.564516129,859.39,1,2.29,0.923387097,288.97,0.959677419,42.85,1,1.98,297.39,0.923387097
1990,2,NA,0.647321429,851.55,1,2.58,0.928571429,293.55,0.941964286,47.88,1,2.22,305.04,0.928571429
1990,3,-31.24,0.923387097,852.8,1,NA,0.612903226,NA,0.588709677,45.97,1,NA,NA,0.588709677
1990,4,-37.88,0.954166667,858.91,0.970833333,NA,0.729166667,NA,0.716666667,42.05,0.970833333,NA,NA,0.716666667
1990,5,-37.01,0.919354839,862.11,0.971774194,NA,0,NA,0,42.78,0.971774194,NA,NA,0
1990,6,-38.52,0.870833333,853.75,0.933333333,NA,0,NA,0,41.58,0.933333333,NA,NA,0
1990,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,8,NA,0.536290323,NA,0.548387097,NA,0,NA,0,NA,0.548387097,NA,NA,0
1990,9,NA,0.4875,NA,0.520833333,NA,0.108333333,NA,0.108333333,NA,0.529166667,NA,NA,0.108333333
1990,10,-31.03,0.830645161,849.35,1,NA,0,NA,0,41.34,1,NA,NA,0
1990,11,NA,0.7,854,0.995833333,NA,0.091666667,NA,0.091666667,41.61,0.991666667,NA,NA,0.091666667
1990,12,NA,0.467741935,856.37,1,2.01,0.903225806,281.55,0.903225806,41.81,1,1.73,287.56,0.903225806
1991,1,NA,0.717741935,853.94,0.995967742,7.04,0.883064516,258.7,0.967741935,43.65,0.995967742,5.47,294.84,0.870967742
1991,2,-18.43,0.803571429,859.19,1,9.18,0.897321429,253.71,0.986607143,49.24,1,7.49,289.49,0.883928571
1991,3,-32,0.887096774,850.6,0.939516129,NA,0.737903226,282.77,0.939516129,46.89,0.939516129,NA,NA,0.737903226
1991,4,NA,0.204166667,NA,0.2125,NA,0.070833333,NA,0.104166667,NA,0.2125,NA,NA,0.070833333
1991,5,-36.94,0.931451613,852.63,0.975806452,NA,0,NA,0,43.79,0.975806452,NA,NA,0
1991,6,NA,0.370833333,NA,0.370833333,NA,0.05,NA,0.104166667,NA,0.366666667,NA,NA,0.05
1991,7,NA,0.536290323,NA,0.544354839,NA,0.056451613,NA,0.056451613,NA,0.544354839,NA,NA,0.056451613
1991,8,NA,0.116935484,NA,0.125,NA,0,NA,0,NA,0.116935484,NA,NA,0
1991,9,NA,0.120833333,NA,0.129166667,NA,0.020833333,NA,0.020833333,NA,0.120833333,NA,NA,0.020833333
1991,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,3,NA,0.338709677,NA,0.358870968,NA,0.213709677,NA,0.209677419,NA,0.358870968,NA,NA,0.197580645
1992,4,-37.55,0.979166667,852.11,1,11.81,0.7875,NA,0.645833333,42.36,0.995833333,NA,NA,0.529166667
1992,5,-35.82,0.903225806,856.89,0.943548387,NA,0.72983871,NA,0.35483871,43.8,0.943548387,NA,NA,0.274193548
1992,6,-36.24,0.8375,862.22,0.866666667,NA,0.6625,NA,0.425,43.24,0.866666667,NA,NA,0.320833333
1992,7,NA,0.64516129,NA,0.665322581,NA,0.346774194,NA,0.346774194,NA,0.661290323,NA,NA,0.262096774
1992,8,-32.73,0.883064516,853.91,0.975806452,NA,0.673387097,NA,0.439516129,41.29,0.975806452,NA,NA,0.262096774
1992,9,-40.28,0.908333333,843.36,0.975,NA,0.629166667,NA,0.4375,36.63,0.975,NA,NA,0.266666667
