Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,2,NA,0.138392857,NA,0.258928571,NA,0.196428571,NA,0.241071429,NA,0,NA,NA,0.196428571
1994,3,-15.28,0.879032258,827.54,0.97983871,7.52,0.774193548,205.38,0.975806452,NA,0,6.4,350.9,0.774193548
1994,4,-19.9,0.854166667,830.44,1,5.78,0.758333333,154.98,0.9625,NA,0,NA,NA,0.745833333
1994,5,-20.56,0.762096774,832.13,1,NA,0.721774194,181.21,0.967741935,NA,0,NA,NA,0.721774194
1994,6,-27.64,0.825,833.6,1,NA,0.645833333,125.22,0.929166667,NA,0,NA,NA,0.645833333
1994,7,-31.52,0.814516129,824.98,1,5.49,0.77016129,150.1,1,NA,0,4.15,6.16,0.77016129
1994,8,-27.84,0.798387097,814.79,1,NA,0.608870968,125.7,0.955645161,NA,0,NA,NA,0.600806452
1994,9,-24.92,0.75,817.02,1,NA,0.591666667,132.09,0.975,NA,0,NA,NA,0.591666667
1994,10,NA,0.572580645,824.31,0.995967742,3.71,0.915322581,175.28,0.991935484,NA,0,2.23,0.91,0.915322581
1994,11,NA,0.729166667,832.53,0.995833333,5.11,0.775,174.87,0.966666667,NA,0,2.79,2.92,0.766666667
1994,12,NA,0.608870968,827.13,1,4.07,0.866935484,191.86,1,NA,0,0.59,258.01,0.866935484
1995,1,NA,0.741935484,827.9,0.995967742,5.55,0.810483871,137.23,0.995967742,NA,0,4.75,10.82,0.810483871
1995,2,NA,0.669642857,828.1,0.995535714,5.25,0.848214286,205.07,0.977678571,NA,0,3.28,349.82,0.848214286
1995,3,-20.41,0.794354839,824.68,1,4.94,0.794354839,113.5,0.991935484,NA,0,3.31,17.06,0.794354839
1995,4,-24.28,0.820833333,826.25,1,5.52,0.808333333,124.61,0.9875,NA,0,4.48,11.05,0.808333333
1995,5,-22.91,0.810483871,823.68,1,NA,0.673387097,178.54,0.987903226,NA,0,NA,NA,0.669354839
1995,6,-29.46,0.820833333,831.18,1,4.78,0.75,161.27,0.954166667,NA,0,2.46,0.6,0.75
1995,7,NA,0.725806452,829.96,0.967741935,NA,0.685483871,167.71,0.943548387,NA,0,NA,NA,0.685483871
1995,8,NA,0.169354839,NA,0.209677419,NA,0.149193548,NA,0.205645161,NA,0,NA,NA,0.149193548
1995,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,10,-17.14,0.818548387,822.31,0.983870968,NA,0.568548387,148.08,0.955645161,NA,0,NA,NA,0.568548387
1995,11,NA,0.579166667,821.41,1,4.96,0.791666667,136.89,0.975,NA,0,3.46,32.73,0.791666667
1995,12,NA,0.709677419,825.3,1,5.3,0.899193548,202.71,0.995967742,NA,0,2.71,358.32,0.899193548
1996,1,NA,0.584677419,831.62,0.971774194,4.95,0.850806452,154.62,0.967741935,NA,0,2.91,26.67,0.850806452
1996,2,NA,0.650862069,827.62,0.995689655,4.53,0.810344828,150.77,0.961206897,NA,0,2.53,357.76,0.810344828
1996,3,-17.03,0.85483871,823.21,1,4.56,0.774193548,162.93,0.971774194,NA,0,3.12,6.46,0.774193548
1996,4,-20.2,0.779166667,833.03,1,6.25,0.758333333,161.13,1,NA,0,5.78,4.29,0.758333333
1996,5,-25.77,0.778225806,819.77,1,NA,0.677419355,143.36,0.919354839,NA,0,NA,NA,0.677419355
1996,6,-24.21,0.770833333,828.53,1,NA,0.695833333,146.26,0.979166667,NA,0,NA,NA,0.695833333
1996,7,NA,0.044354839,NA,0.064516129,NA,0.040322581,NA,0.064516129,NA,0,NA,NA,0.040322581
1996,8,NA,0.060483871,NA,0.068548387,NA,0.064516129,NA,0.068548387,NA,0,NA,NA,0.064516129
1996,9,NA,0.554166667,NA,0.666666667,NA,0.429166667,NA,0.6,NA,0,NA,NA,0.429166667
1996,10,NA,0.741935484,815.13,1,NA,0.633064516,150.85,0.987903226,NA,0,NA,NA,0.633064516
1996,11,NA,0.708333333,820.9,0.995833333,NA,0.741666667,127.66,0.970833333,NA,0,NA,NA,0.741666667
1996,12,NA,0.641129032,829.18,1,4.14,0.870967742,140.71,1,NA,0,2.28,18.74,0.870967742
1997,1,NA,0.552419355,830.16,1,3.63,0.887096774,157.67,0.975806452,NA,0,1.69,30.12,0.887096774
1997,2,NA,0.397321429,831.75,0.991071429,3.62,0.870535714,180.63,0.955357143,NA,0,1.34,354.33,0.870535714
1997,3,-18.33,0.774193548,821.21,1,NA,0.741935484,208.24,0.991935484,NA,0,NA,NA,0.741935484
1997,4,-20.13,0.8375,823.73,1,NA,0.741666667,133.65,0.9875,NA,0,NA,NA,0.741666667
1997,5,-19.72,0.782258065,825.4,1,NA,0.568548387,188.75,1,NA,0,NA,NA,0.568548387
1997,6,NA,0.475,NA,0.6125,NA,0.425,NA,0.608333333,NA,0,NA,NA,0.425
1997,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,8,NA,0.016129032,NA,0.016129032,NA,0.016129032,NA,0.016129032,NA,0,NA,NA,0.016129032
1997,9,NA,0.370833333,NA,0.5375,NA,0.325,NA,0.445833333,NA,0,NA,NA,0.325
1997,10,NA,0.580645161,826.72,1,4.46,0.862903226,174.08,0.991935484,NA,0,2.4,345.5,0.862903226
1997,11,NA,0.558333333,835.46,1,3.78,0.9375,162.16,0.991666667,NA,0,2.52,5.58,0.9375
1997,12,NA,0.504032258,838.35,1,4.1,0.899193548,200.3,0.991935484,NA,0,2.13,344.96,0.899193548
1998,1,NA,0.612903226,828.51,1,4.35,0.879032258,141.48,0.987903226,NA,0,2.44,42.51,0.879032258
1998,2,NA,0.602678571,831.12,1,5.09,0.803571429,194.51,0.982142857,NA,0,4,354.24,0.803571429
1998,3,-16.49,0.794354839,826.25,1,6.11,0.782258065,185.43,0.991935484,NA,0,5.43,0.18,0.782258065
1998,4,NA,0.7375,818.45,1,NA,0.695833333,184.72,0.975,NA,0,NA,NA,0.695833333
1998,5,NA,0.733870968,831.31,1,NA,0.560483871,250.14,0.866935484,NA,0,NA,NA,0.560483871
1998,6,-18.56,0.866666667,828.79,1,NA,0.691666667,175.76,0.9875,NA,0,NA,NA,0.691666667
1998,7,-25.85,0.846774194,817.13,1,NA,0.661290323,153.6,0.891129032,NA,0,NA,NA,0.661290323
1998,8,-27.18,0.778225806,819.39,1,NA,0.721774194,125.92,0.891129032,NA,0,NA,NA,0.721774194
1998,9,NA,0.725,823.16,1,NA,0.670833333,164.05,0.883333333,NA,0,NA,NA,0.670833333
1998,10,NA,0.713709677,817.41,1,NA,0.689516129,177.28,0.951612903,NA,0,NA,NA,0.689516129
1998,11,NA,0.583333333,821.68,0.829166667,NA,0.666666667,164.86,0.808333333,NA,0,NA,NA,0.658333333
