Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1997,1,NA,0.419354839,NA,0.443548387,NA,0.443548387,NA,0.443548387,NA,0.439516129,NA,NA,0.443548387
1997,2,-14.21,0.803571429,879.15,0.986607143,5.62,0.941964286,264.33,0.964285714,80.58,0.982142857,4.81,335.81,0.941964286
1997,3,-20.61,0.842741935,864.7,1,7.12,0.97983871,262.94,1,79.88,1,6.62,349.53,0.97983871
1997,4,-29.27,0.833333333,867.17,1,8.46,0.8875,169.51,0.995833333,75.21,1,7.99,358.96,0.8875
1997,5,-29.72,0.814516129,858.95,1,10.03,0.858870968,165.52,1,74.26,1,9.63,0.1,0.858870968
1997,6,-23.45,0.875,873.07,0.991666667,9.57,0.904166667,207.68,0.991666667,78.93,0.991666667,9.13,354.94,0.904166667
1997,7,-29.93,0.838709677,862.85,1,9.43,0.923387097,214.43,1,74.35,0.995967742,8.63,352.2,0.923387097
1997,8,-34.25,0.850806452,858.12,1,11.01,0.830645161,130.41,0.987903226,70.1,1,10.61,4.49,0.822580645
1997,9,-28.29,0.9,864.5,1,11.16,0.845833333,160.39,1,71.08,1,10.46,2.84,0.845833333
1997,10,-18.3,0.830645161,866.65,1,9.03,0.89516129,196.68,0.995967742,77.4,1,8.41,356.32,0.89516129
1997,11,-12.08,0.966666667,877,1,9.09,0.954166667,176.22,1,73.63,0.9875,8.1,3.27,0.954166667
1997,12,-5.67,0.830645161,881.28,1,4.63,0.967741935,245.39,0.983870968,74.41,1,3.44,337.09,0.967741935
1998,1,NA,0.685483871,874.76,1,4,0.975806452,191.31,0.991935484,70.9,1,3.05,354.06,0.975806452
1998,2,-10.84,0.799107143,870.62,1,6.95,0.919642857,207.64,0.991071429,78.58,1,6.55,357.25,0.919642857
