Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,11,NA,0.058333333,NA,0.058333333,NA,0.058333333,NA,0.058333333,NA,0.058333333,NA,NA,0.058333333
1994,12,-11.9,0.830645161,818.81,1,5.25,0.983870968,141.96,0.995967742,64.94,1,3.4,81.49,0.983870968
1995,1,-12.83,0.939516129,818.61,0.995967742,7.26,0.975806452,93.44,0.991935484,67.53,0.995967742,6.41,81.94,0.975806452
1995,2,-15.51,0.928571429,817.57,0.96875,7.73,0.919642857,81.95,0.964285714,78.34,0.96875,7.21,78.95,0.919642857
1995,3,-25.14,0.947580645,819.32,1,8.34,0.959677419,89.45,1,75.6,1,8.07,87.19,0.959677419
1995,4,NA,0.3375,NA,0.345833333,NA,0.308333333,NA,0.345833333,NA,0.345833333,NA,NA,0.308333333
1995,5,-27.83,0.919354839,809.58,1,9.81,0.887096774,88.63,0.991935484,77.75,1,9.36,87.94,0.887096774
1995,6,-26.84,0.8125,820.95,0.925,10.34,0.8375,95.78,0.8875,78.73,0.925,9.81,89.59,0.825
1995,7,-31.21,0.879032258,824.35,1,9.68,0.89516129,90.45,0.995967742,71.82,1,9.45,90.29,0.89516129
1995,8,-31.89,0.879032258,814.43,0.983870968,9.35,0.89516129,92.43,0.971774194,71.47,0.983870968,9.13,91.29,0.883064516
1995,9,-29.08,0.975,808.82,0.995833333,10.46,0.875,92.06,0.9875,74.79,0.995833333,10.29,91.31,0.875
1995,10,-24.22,0.919354839,811.11,0.947580645,12.81,0.806451613,87.2,0.939516129,70.23,0.947580645,12.29,87.26,0.806451613
1995,11,NA,0.616666667,NA,0.616666667,NA,0.591666667,NA,0.616666667,NA,0.616666667,NA,NA,0.591666667
1995,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,1,NA,0.447580645,NA,0.447580645,NA,0.447580645,NA,0.447580645,NA,0.447580645,NA,NA,0.447580645
1996,2,-17.71,0.961206897,823.18,0.995689655,8.53,0.931034483,85.46,0.995689655,65.91,0.995689655,8.34,86.5,0.931034483
1996,3,-24,0.987903226,813.51,1,10.64,0.943548387,86.62,1,74.39,1,10.39,86.09,0.943548387
1996,4,-20.35,0.9625,817.54,0.9875,10.73,0.8875,76,0.9875,83.6,0.9625,10,77.96,0.8875
1996,5,NA,0.403225806,NA,0.415322581,NA,0.391129032,NA,0.415322581,NA,0.415322581,NA,NA,0.391129032
1996,6,NA,0.329166667,NA,0.333333333,NA,0.304166667,NA,0.333333333,NA,0.333333333,NA,NA,0.304166667
