Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1983,1,NA,0.004032258,NA,0,NA,0.004032258,NA,0.004032258,NA,0,NA,NA,0.004032258
1983,2,NA,0.455357143,NA,0.700892857,NA,0.625,NA,0.651785714,NA,0,NA,NA,0.625
1983,3,NA,0.491935484,NA,0.665322581,NA,0.584677419,NA,0.612903226,NA,0,NA,NA,0.584677419
1983,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,12,NA,0.221774194,NA,0.625,NA,0.560483871,NA,0.536290323,NA,0,NA,NA,0.532258065
1984,1,NA,0.459677419,994.97,0.991935484,2.11,0.883064516,144.09,0.875,NA,0,1.24,70.51,0.870967742
1984,2,NA,0.599137931,990.35,0.978448276,2.82,0.909482759,133.05,0.948275862,NA,0,1.86,67.99,0.909482759
1984,3,NA,0.741935484,980.47,1,2.57,0.830645161,153.68,0.822580645,NA,0,1.34,51.8,0.818548387
1984,4,NA,0.720833333,981.88,0.9875,NA,0.6875,NA,0.745833333,NA,0,NA,NA,0.683333333
1984,5,NA,0.721774194,989.14,1,NA,0.528225806,NA,0.572580645,NA,0,NA,NA,0.524193548
1984,6,-26.7,0.7875,982.88,1,NA,0.525,NA,0.666666667,NA,0,NA,NA,0.495833333
1984,7,NA,0.657258065,977.53,1,NA,0.100806452,NA,0.112903226,NA,0,NA,NA,0.100806452
1984,8,NA,0.625,986.16,0.987903226,NA,0,NA,0,NA,0,NA,NA,0
1984,9,NA,0.641666667,982.58,1,NA,0.191666667,NA,0.175,NA,0,NA,NA,0.170833333
1984,10,-18.63,0.77016129,974.57,0.991935484,NA,0.588709677,NA,0.737903226,NA,0,NA,NA,0.588709677
1984,11,-11.69,0.754166667,979.93,0.983333333,2.14,0.833333333,166.69,0.854166667,NA,0,0.79,35.46,0.820833333
1984,12,NA,0.419354839,992.87,0.983870968,2,0.838709677,184.01,0.870967742,NA,0,0.37,16.08,0.838709677
1985,1,NA,0.52016129,992.21,0.991935484,2.17,0.903225806,137.54,0.875,NA,0,1.19,51.03,0.875
1985,2,NA,0.495535714,987.54,1,2.45,0.883928571,127.34,0.879464286,NA,0,1.7,67.95,0.857142857
