Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1987,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,-13.45,0.776785714,914.79,0.8125,NA,0.375,292.8,0.799107143,47.05,0.8125,NA,NA,0.361607143
1987,3,-21.89,0.923387097,909.86,0.790322581,NA,0.294354839,311.57,0.77016129,39.16,0.951612903,NA,NA,0.258064516
1987,4,NA,0.5,NA,0,NA,0.204166667,NA,0.4125,NA,0.5125,NA,NA,0.15
1987,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,9,-27.27,0.841666667,NA,0.133333333,NA,0.341666667,297.46,0.766666667,NA,0,NA,NA,0.3125
1987,10,-21.63,0.959677419,NA,0,NA,0.35483871,290.03,0.814516129,NA,0,NA,NA,0.286290323
1987,11,-16.16,0.966666667,NA,0,NA,0.308333333,313.73,0.8375,NA,0,NA,NA,0.266666667
1987,12,-7.49,0.991935484,NA,0,NA,0.387096774,303.16,0.858870968,NA,0,NA,NA,0.326612903
1988,1,-7.69,0.983870968,NA,0.508064516,NA,0.375,286.94,0.858870968,NA,0.379032258,NA,NA,0.346774194
1988,2,-14.43,0.961206897,911.55,0.987068966,NA,0.379310345,322,0.844827586,45.6,0.987068966,NA,NA,0.318965517
1988,3,NA,0.713709677,NA,0.745967742,NA,0.290322581,NA,0.673387097,NA,0.745967742,NA,NA,0.254032258
1988,4,NA,0.491666667,NA,0.495833333,NA,0.2125,NA,0.429166667,NA,0.495833333,NA,NA,0.170833333
1988,5,NA,0.125,NA,0.125,NA,0.052419355,NA,0.112903226,NA,0.125,NA,NA,0.048387097
1988,6,NA,0.1,NA,0.1,NA,0.045833333,NA,0.1,NA,0.1,NA,NA,0.045833333
